SPK_SPKC01a,SPK_SPKC02b,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC06a,SPK_SPKC08b,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC14a
26.35575,0.933475,6.688825,3.90255,2.839825,32.386175,1.571425,2.145375,2.96615
26.699275,0.94665,6.811725,3.9155,2.88825,32.453475,1.5866,2.1803,3.047975
27.301475,0.967525,6.9083,3.9879,2.918175,32.500075,1.596525,2.200225,3.0746
27.53795,0.986575,7.00745,3.996575,2.950325,32.566175,1.61645,2.2303,3.1499
27.61275,1.00285,7.0837,4.071375,2.9532,32.6236,1.625325,2.2702,3.200325
27.7661,1.0255,7.1471,4.08275,2.974,32.657525,1.651575,2.311825,3.33535
28.4005,1.053375,7.33195,4.12275,2.99315,32.697725,1.7054,2.338575,3.389575
28.68365,1.065825,7.369375,4.134425,3.0412,32.7293,1.7496,2.367125,3.424
29.078,1.095625,7.561725,4.1415,3.068225,32.789725,1.76765,2.389275,3.45505
29.273125,1.108675,7.72085,4.169025,3.076025,32.82585,1.78205,2.413425,3.5071
29.32525,1.1348,7.7481,4.196575,3.08795,32.874825,1.8038,2.43685,3.562825
29.376875,1.1506,7.78135,4.250475,3.1095,32.935475,1.814675,2.491025,3.6004
29.490025,1.172925,7.801975,4.42875,3.169375,32.961725,1.843075,2.541075,3.6405
30.18195,1.20525,7.8251,4.449225,3.2155,33.02505,1.866175,2.57065,3.6742
30.4684,1.218125,7.847675,4.469425,3.27015,33.06035,1.87845,2.598475,3.7753
30.632025,1.2346,7.9891,4.493425,3.29935,33.086625,1.906925,2.627075,3.803
30.70045,1.25175,8.01575,4.565375,3.332725,33.177725,1.9428,2.650975,3.894175
31.0219,1.28495,8.0698,4.569475,3.3581,33.23325,1.9642,2.686725,3.966325
31.17135,1.29615,8.10385,4.634475,3.392675,33.29605,1.97785,2.713175,4.0541
31.303125,1.3199,8.208225,4.6924,3.430025,33.308625,2.0142,2.73655,4.08895
31.902725,1.334775,8.287525,4.704875,3.46345,33.3266,2.03465,2.774225,4.110575
31.984175,1.34215,8.3404,4.727575,3.494375,33.369675,2.0974,2.8153,4.170475
32.1939,1.36115,8.4237,4.752,3.540175,33.406275,2.136275,2.839775,4.365625
32.2757,1.3756,8.638375,4.762525,3.5676,33.479575,2.14955,2.867025,4.551225
32.3703,1.3833,8.72665,4.7951,3.6079,33.58345,2.16715,2.89845,4.612125
34.028875,1.40295,8.777575,4.809775,3.627275,33.6549,2.202275,2.937725,4.735675
34.280075,1.418625,8.8307,4.9793,3.679275,33.6861,2.21665,2.988,4.827175
34.71905,1.45155,8.8464,5.162025,3.704325,33.73415,2.23045,3.01365,4.8714
34.776475,1.471425,8.917025,5.180825,3.730425,33.772475,2.246525,3.0392,5.11915
34.983725,1.4877,8.934775,5.332875,3.769375,33.822325,2.26245,3.059275,5.363325
35.556325,1.505325,8.9554,5.40515,3.805725,33.86765,2.296025,3.084125,5.5185
36.3803,1.540325,9.053925,6.007075,3.842275,33.9011,2.357975,3.111725,5.766475
36.629975,1.562275,9.300725,6.022625,3.87805,33.932525,2.405325,3.136725,5.972875
37.000125,1.5812,9.520525,6.33765,3.9048,34.013875,2.42615,3.1704,6.0707
37.04625,1.5931,9.635325,6.382625,3.929425,34.1279,2.452175,3.186575,6.113875
37.36085,1.60615,9.685675,6.39485,3.9635,34.186325,2.472575,3.209725,6.13875
37.373925,1.6177,9.719775,6.4523,3.978525,34.213675,2.515375,3.224325,6.15775
37.698675,1.6391,9.844225,6.4692,3.985925,34.282675,2.5372,3.2427,6.218275
37.7341,1.663775,9.954,6.510725,4.034375,34.357225,2.58435,3.259525,6.240575
38.1942,1.6809,10.195975,6.52985,4.071425,34.42,2.60525,3.2923,6.311
38.56175,1.695075,10.292775,6.561125,4.1027,34.54725,2.67135,3.316675,6.385675
38.667175,1.706225,10.405375,6.568575,4.13585,34.576475,2.700075,3.33785,6.421875
38.72875,1.7256,10.732575,6.62135,4.16055,34.6204,2.77025,3.38795,6.44305
38.9625,1.741775,10.7447,6.6832,4.171575,34.65765,2.797925,3.431325,6.515575
39.143375,1.75195,10.771425,6.713825,4.1969,34.680075,2.820375,3.493675,6.5366
39.201,1.76805,10.859275,6.9246,4.24125,34.796425,2.841725,3.547475,6.576175
39.270375,1.78,10.913,6.95525,4.273925,34.8988,2.867875,3.572225,6.60105
41.28775,1.792025,10.942775,7.01565,4.292275,35.0691,2.8907,3.598625,6.67065
41.862225,1.80495,11.0271,7.0684,4.29905,35.13655,2.906075,3.61875,6.6978
41.92625,1.81905,11.0671,7.174125,4.363525,35.170525,2.921775,3.64325,6.767825
42.409925,1.82825,11.09655,7.183575,4.392675,35.21525,2.963825,3.711,6.8031
42.5795,1.84005,11.1616,7.2059,4.422325,35.259725,3.053175,3.7324,6.873725
43.163875,1.85585,11.22275,7.336925,4.4445,35.295,3.13345,3.7635,6.924725
43.8011,1.8733,11.32695,7.37925,4.505,35.32175,3.17325,3.7696,6.951025
43.912475,1.884325,11.482225,7.397725,4.57305,35.358275,3.234025,3.788725,7.011
44.1056,1.8982,11.617,7.418475,4.591925,35.413625,3.2776,3.801675,7.012275
44.2157,1.911425,11.8394,7.4934,4.6096,35.48765,3.2998,3.832,7.038375
