SPK_SPKC01a,SPK_SPKC06a,SPK_SPKC06b,SPK_SPKC08a,SPK_SPKC13a,SPK_SPKC13b
312.504125,425.798675,302.352,302.207,306.96695,310.66395
312.528925,427.417875,302.370175,302.220075,306.98695,310.67475
312.589125,427.78635,302.380575,302.440475,306.9949,310.760725
312.6781,428.5941,302.389525,302.5256,307.080925,310.975375
312.7356,431.180025,302.41145,302.565775,307.095725,311.102925
312.8588,436.187525,302.4356,302.63945,307.1032,311.309125
313.02895,436.5822,302.472475,302.65995,307.11285,311.48805
313.234225,438.9423,302.5059,302.6641,307.139075,311.7449
313.429475,440.50445,302.54915,302.697625,307.146225,311.7537
313.4855,442.86615,302.582575,302.72065,307.17025,311.7721
313.604775,444.60765,302.597275,302.753825,307.252125,311.7996
313.6445,445.563025,302.613025,302.777525,307.302625,311.806125
313.8807,452.579375,302.617875,302.797075,307.315425,311.9674
314.014075,455.091175,302.6612,302.811925,307.399875,312.4829
314.1135,456.7423,302.6639,302.824575,307.543925,312.52225
314.286,460.80605,302.7036,302.8325,307.668125,312.533925
314.327125,464.90195,302.76165,302.8457,307.69385,312.581425
314.39755,465.981875,302.781425,302.892775,307.7206,312.60515
314.47535,469.98325,302.805525,303.003675,307.7421,312.6186
314.545675,473.8768,302.88655,303.34015,308.1322,312.621925
314.645775,473.96365,302.904675,303.405125,308.2496,312.66245
314.835425,477.08965,302.945225,303.5983,308.37055,312.673775
314.861475,477.8035,302.9761,303.642325,308.627975,312.69675
314.928175,478.564025,302.993725,303.665625,308.7961,312.83375
314.98615,488.874825,303.02135,303.68195,308.8624,313.083475
315.7163,489.3852,303.05425,303.72405,308.930925,313.091275
315.734725,489.45135,303.090675,303.73385,308.98205,313.473575
315.75805,489.990325,303.138425,303.749825,309.09515,313.570175
315.778625,490.10105,303.17255,303.7805,309.304075,313.76495
315.7898,490.5137,303.206025,303.867425,309.5009,313.815175
315.840175,492.088075,303.239225,303.889625,309.56165,313.875925
315.92075,494.57555,303.265775,303.911925,309.69985,314.10825
316.090025,494.74525,303.286875,303.945175,309.743725,314.291125
316.10195,494.8058,303.314575,303.962625,309.790425,314.309975
316.11665,499.266675,303.3326,303.977575,309.806125,314.84265
316.313,500.55635,303.39035,304.030875,309.8171,314.866075
316.374025,503.11725,303.433625,304.0473,309.838825,315.145675
316.3978,503.12725,303.44735,304.12195,309.926425,315.244925
316.459275,503.163925,303.472075,304.164425,309.98515,315.3139
316.68015,506.268325,303.48425,304.203525,310.057925,315.344625
316.7318,506.97815,303.492075,304.453225,310.1537,315.3991
316.8487,509.24545,303.5164,304.5063,310.3098,315.6969
316.90735,509.94535,303.5761,304.61245,310.333675,315.73035
317.23305,511.3005,303.669275,304.6569,310.343125,315.74905
317.304075,514.13365,303.7301,304.75215,310.4749,315.84555
317.4366,515.365275,303.79505,304.765925,310.48965,315.97945
317.533425,516.274025,303.8281,304.781675,310.50645,315.992225
317.863575,519.0086,303.83205,304.7932,310.5536,316.02325
318.00215,519.806875,303.878675,304.816775,310.6409,316.062925
318.148775,519.931975,303.943975,304.859225,310.729225,316.249775
318.30785,521.60865,304.00405,305.011025,310.781725,316.388525
318.3875,521.94025,304.031875,305.0446,310.8474,316.397225
318.64335,522.920775,304.08635,305.0633,311.32335,316.42795
318.731425,524.397175,304.10455,305.0777,311.34295,316.526375
318.86055,525.434725,304.13535,305.08745,311.4421,316.612525
318.9053,525.4866,304.157325,305.08915,311.592875,316.66325
319.139475,525.6387,304.1911,305.102975,311.7259,316.880525
319.350225,525.75485,304.218775,305.12065,311.732825,316.9977
319.487975,526.031325,304.23985,305.133825,311.751275,317.0306
319.6378,527.27135,304.266325,305.144775,311.759075,317.1113
320.12035,528.42545,304.304975,305.155525,311.7903,317.1741
320.423025,531.604975,304.3585,305.165725,311.910025,317.196075
320.50255,532.917225,304.43235,305.178875,312.05525,317.214925
320.554125,533.484125,304.447575,305.194925,312.18615,317.233625
320.5788,533.550325,304.481175,305.2115,312.247925,317.28615
320.584025,534.2242,304.534825,305.2326,312.390025,317.332975
320.69685,534.83785,304.646375,305.252275,312.402725,317.3551
320.901675,535.153525,304.68275,305.2696,312.5839,317.404975
320.952,535.537175,304.731675,305.30655,312.594,317.456675
321.071275,535.718225,304.77985,305.34205,312.7616,317.737575
321.309375,537.2876,304.81845,305.369875,312.81125,317.9605
321.347675,538.319575,304.8655,305.371025,312.84675,318.07655
321.386425,541.317975,304.89805,305.404625,312.86765,318.228125
321.42645,542.848575,304.914825,305.410125,312.875525,318.476775
321.4789,544.006275,304.9602,305.43535,312.892975,318.482425
321.53985,547.301175,304.990325,305.456775,312.9098,318.6028
321.68065,549.205775,305.088275,305.504725,312.9533,318.639125
322.18035,549.878975,305.11,305.53535,313.002775,318.69005
322.6791,556.286975,305.1298,305.5367,313.240975,318.8446
322.874325,559.065025,305.16505,305.550925,313.2582,318.8459
323.045675,560.10855,305.1898,305.55985,313.284725,318.87555
323.092875,564.27655,305.229875,305.578275,313.48585,318.889125
323.09445,565.5054,305.302825,305.610725,313.64215,319.080475
323.620675,565.585375,305.337425,305.629675,313.659175,319.115125
323.949175,566.7846,305.36555,305.656575,313.730875,319.140475
323.991125,567.940525,305.403125,305.66145,313.9242,319.148575
324.966125,568.22215,305.4243,305.670725,313.95315,319.1994
325.019525,569.6543,305.459875,305.679025,314.04305,319.279575
325.09655,570.0792,305.5399,305.682125,314.066125,319.391175
325.328175,573.370625,305.55965,305.68455,314.1003,319.575875
325.33565,575.079475,305.6106,305.689175,314.1648,319.656375
325.431475,576.025175,305.6813,305.691975,314.197925,319.738125
325.433275,577.6274,305.723575,305.701575,314.3403,319.81325
325.454625,582.1421,305.784025,305.704725,314.4801,320.485025
325.491725,582.777825,305.809325,305.71405,314.58495,320.49735
325.55705,583.343675,305.852625,305.7262,314.628075,320.5183
325.69345,585.51815,305.86965,305.734425,314.7591,320.547725
325.763675,585.739825,305.90065,305.7402,314.780975,320.575
325.7751,589.0961,305.921975,305.748675,314.82245,320.6798
325.8835,591.944125,305.9389,305.7528,314.916325,320.796925
326.058125,592.206675,305.9554,305.7564,315.061225,321.0344
326.40335,593.494725,305.96715,305.767775,315.168175,321.14795
326.436675,594.4919,305.9949,305.791825,315.20375,321.439625
326.47525,595.82545,306.04565,305.804675,315.261625,321.458
326.589,596.5482,306.098525,305.807125,315.275425,321.652325
326.7566,597.000025,306.146175,305.824025,315.297375,321.7085
326.760925,,306.18345,305.830725,315.38665,321.99165
326.9274,,306.202625,305.839675,315.495475,322.007625
327.0266,,306.222675,305.862125,315.5216,322.07255
327.130325,,306.26695,305.8839,315.567075,322.105775
327.183125,,306.28865,306.076925,315.621525,322.149525
327.337075,,306.34005,306.11145,315.761075,322.22195
327.409625,,306.391225,306.127125,315.82155,322.422375
327.450675,,306.4083,306.1446,315.86615,322.601225
327.4871,,306.41005,306.1601,315.9692,322.60645
327.5108,,306.45325,306.19135,316.11395,322.698275
327.5176,,306.47425,306.239775,316.270625,322.76895
327.602725,,306.512325,306.25885,316.34715,323.047125
327.660375,,306.5445,306.270225,316.3828,323.07895
327.939025,,306.576625,306.28145,316.404175,323.151375
327.960775,,306.60035,306.28625,316.48775,323.375175
328.6245,,306.61005,306.292175,316.5823,323.385375
328.697825,,306.634375,306.297725,316.62265,323.39195
328.76615,,306.658075,306.3021,316.657525,323.41095
329.065675,,306.663625,306.3129,316.661525,323.69935
329.071725,,306.693225,306.319475,316.88995,323.821775
329.33585,,306.69665,306.3227,316.9079,324.00135
329.482425,,306.721475,306.32775,316.932225,324.022925
329.683525,,306.7363,306.33435,316.9427,324.113325
329.7592,,306.757075,306.346575,316.952,324.151425
330.0345,,306.779425,306.362475,317.185575,324.3817
330.047425,,306.799675,306.3722,317.26225,324.4124
330.33105,,306.8401,306.382,317.385125,324.72445
330.427,,306.89335,306.39155,317.469325,324.924725
330.431425,,306.91945,306.394425,317.743725,324.999925
330.49975,,306.949,306.402725,317.7541,325.04845
330.612725,,306.998475,306.436075,317.861975,325.08135
330.63495,,307.01825,306.4583,317.8707,325.126
330.684175,,307.0476,306.465925,318.120625,325.155425
330.718325,,307.076,306.4786,318.14395,325.19725
330.779775,,307.137025,306.4869,318.392225,325.286775
331.1417,,307.16375,306.519175,318.5379,325.293175
331.37825,,307.210575,306.524675,318.58715,325.308475
331.388375,,307.2455,306.5377,318.65195,325.459825
331.54425,,307.2768,306.55695,318.6633,325.585175
331.655,,307.3227,306.59185,318.685025,325.635725
331.924375,,307.3508,306.597175,318.758375,325.649225
331.980375,,307.384775,306.623075,318.77545,325.687775
332.01105,,307.44485,306.626225,319.031325,325.89855
332.951625,,307.4774,306.641175,319.054175,325.92925
332.9783,,307.512725,306.65085,319.10415,326.1139
333.083675,,307.5453,306.672725,319.130125,326.399975
333.3345,,307.57475,306.68945,319.1588,326.40945
333.34655,,307.59395,306.6999,319.16255,326.5088
333.360625,,307.640675,306.723375,319.171275,326.6111
333.39725,,307.642075,306.72915,319.179525,326.778
333.50355,,307.679125,306.733675,319.235825,326.904175
333.563575,,307.724175,306.746575,319.4692,326.97185
333.612025,,307.759725,306.751575,319.90955,327.29255
333.643925,,307.7923,306.75505,320.011225,327.3633
333.6706,,307.813375,306.7738,320.08235,327.421425
333.68975,,307.8375,306.7822,320.105675,327.47475
334.303225,,307.865475,306.791425,320.1843,327.622975
334.348925,,307.894,306.8111,320.395875,327.67415
334.466275,,307.9301,306.83175,320.440875,327.6952
334.558475,,307.957425,306.84955,320.45465,327.72315
334.62275,,307.977325,306.8534,320.505575,327.9324
334.932025,,308.015975,306.86325,320.51095,328.67255
335.515875,,308.051825,306.880125,320.53835,328.75565
335.977475,,308.069875,306.88355,320.670175,328.7746
336.05125,,308.111075,306.89395,320.7756,328.783175
336.084875,,308.1417,306.925375,320.82825,328.914
336.1796,,308.2325,306.9289,320.834225,328.97335
336.30385,,308.275875,306.93345,321.006575,329.380075
336.416625,,308.31975,306.942875,321.12655,329.453625
336.761225,,308.3498,306.95185,321.135725,329.711375
336.7843,,308.387475,306.9784,321.161325,329.9542
336.804525,,308.403275,307.018625,321.2629,330.02515
336.877125,,308.424475,307.0521,321.318075,330.0596
336.929425,,308.468625,307.0934,321.50515,330.3823
336.96365,,308.5097,307.13525,321.664075,330.4097
337.026075,,308.548,307.1417,321.6935,330.44405
337.3071,,308.5731,307.1517,321.73165,330.730675
337.499625,,308.59465,307.16275,321.812975,330.88095
337.534625,,308.625425,307.16885,321.83175,331.141225
337.9321,,308.650875,307.188125,321.981775,331.193625
338.013875,,308.691875,307.201125,322.028975,331.2321
338.14425,,308.7216,307.207725,322.1637,331.2351
338.221075,,308.74425,307.224425,322.364975,331.245625
338.25315,,308.76585,307.229475,322.381425,331.254075
338.4696,,308.79995,307.236375,322.4391,331.3384
338.518525,,308.83085,307.240475,322.513075,331.3537
338.628525,,308.863375,307.2562,322.593325,331.42045
339.112625,,308.928725,307.259675,322.844775,331.7476
339.139325,,308.9571,307.27385,322.898975,331.78645
339.22325,,308.973125,307.289325,322.95495,331.85095
339.2695,,309.00075,307.31305,323.025475,331.98175
339.288825,,309.0232,307.327825,323.08535,332.037525
339.313925,,309.045725,307.3399,323.36445,332.158475
339.5477,,309.0851,307.347175,323.45075,332.198225
339.9489,,309.117925,307.405425,323.4852,332.210825
340.0054,,309.1405,307.4345,323.61755,332.314325
340.452825,,309.19,307.436925,323.692825,332.377075
340.566925,,309.217425,307.444225,323.73445,332.781025
340.6629,,309.23265,307.4491,323.74325,332.827175
340.762,,309.2716,307.45635,323.79075,332.86395
340.8019,,309.32755,307.4581,323.9258,332.93935
340.92525,,309.395975,307.46315,324.042175,333.106275
340.964625,,309.42495,307.486175,324.26255,333.161975
341.015425,,309.46535,307.49135,324.6,333.321475
341.65895,,309.48475,307.500025,324.66165,333.38285
341.710175,,309.543725,307.5115,324.6891,333.43285
341.72055,,309.563075,307.5147,324.760525,333.828975
342.048275,,309.613775,307.5184,324.796975,333.895725
342.188325,,309.648,307.5241,324.949925,334.19115
342.225875,,309.666525,307.535625,324.994575,334.2644
342.3371,,309.7059,307.54055,325.020125,334.343525
342.366725,,309.748275,307.54865,325.035725,334.412475
342.41275,,309.767275,307.552075,325.068175,334.621175
342.45995,,309.796275,307.585675,325.21045,335.278725
342.591525,,309.832775,307.60585,325.27865,335.340575
343.119525,,309.860425,307.623225,325.331075,335.743175
343.140725,,309.8785,307.6293,325.396225,335.9494
343.253075,,309.916275,307.64585,325.48315,335.95265
343.3251,,309.940925,307.654,325.529,335.973575
343.5768,,309.978725,307.68855,325.627,335.97705
343.970875,,310.03145,307.69445,325.661425,336.02765
343.991675,,310.0717,307.7056,325.746025,336.15255
343.9938,,310.10595,307.723725,325.8866,336.167675
344.03305,,310.148875,307.7332,326.2189,336.198425
344.221025,,310.169925,307.75525,326.24925,336.21655
344.259475,,310.203575,307.784525,326.258275,336.2255
344.4329,,310.2297,307.79275,326.266675,336.25955
344.45465,,310.2493,307.8021,326.286825,336.45895
344.98015,,310.270275,307.806625,326.443525,336.603325
345.208325,,310.30625,307.815925,326.455025,336.613975
345.227075,,310.336675,307.829575,326.5583,336.81815
345.578375,,310.370825,307.8495,326.5669,336.8213
345.6272,,310.397025,307.86355,326.6057,336.845
345.6406,,310.44625,307.8774,326.696975,336.84915
345.6444,,310.473225,307.89735,326.770475,336.8773
345.668275,,310.4929,307.91105,326.799525,336.9155
345.867725,,310.541875,307.924825,326.9984,337.00645
346.157725,,310.57175,307.955675,327.01695,337.04405
346.239875,,310.603825,307.9701,327.037625,337.1024
346.258475,,310.623525,307.98495,327.30725,337.142775
346.42685,,310.65225,307.994,327.40395,337.28935
346.481975,,310.696725,308.00615,327.45195,337.293975
346.61415,,310.7382,308.014125,327.58495,337.348875
346.6206,,310.778175,308.042075,327.6661,337.3594
346.6635,,310.813075,308.065025,327.73345,337.37445
346.904275,,310.83995,308.09315,327.8287,337.87185
346.9781,,310.85,308.140125,328.08635,337.886475
347.1695,,310.912325,308.155375,328.093425,337.9135
347.487275,,310.92435,308.1793,328.143375,337.932375
348.20525,,310.9583,308.18955,328.1804,337.970275
348.40845,,310.996875,308.22405,328.217725,338.01305
348.462,,311.043375,308.23665,328.248,338.238875
348.464075,,311.0737,308.2394,328.2718,338.31315
348.5735,,311.111025,308.2458,328.301725,338.3313
348.8324,,311.153125,308.25235,328.328625,338.3606
349.327975,,311.17345,308.283825,328.39375,338.4662
349.4985,,311.19455,308.296,328.5188,338.4747
349.85935,,311.217275,308.39645,328.70035,338.499625
349.94315,,311.2438,308.423425,328.7569,338.576325
350.0369,,311.262825,308.451625,328.827225,338.75425
350.66585,,311.279325,308.46185,328.857125,338.964075
350.9426,,311.28625,308.48785,328.954775,339.001475
351.04565,,311.31715,308.498825,328.991775,339.0126
351.101575,,311.347275,308.5116,329.03315,339.098025
351.187625,,311.382625,308.542325,329.084,339.254325
351.434625,,311.41325,308.6141,329.231125,339.3028
351.891425,,311.436,308.673125,329.264775,339.333975
352.14925,,311.464725,308.718325,329.3256,339.3534
352.48345,,311.500625,308.835175,329.435575,339.41295
352.5733,,311.528725,308.850025,329.7194,339.5186
352.607825,,311.5369,308.867325,329.911375,339.590625
352.843075,,311.5552,308.8773,330.11985,339.658975
353.183975,,311.582825,308.901425,330.1452,339.784475
353.206875,,311.607025,308.9424,330.16245,340.263125
353.25645,,311.6213,308.958625,330.2125,340.475325
353.31365,,311.632125,308.96965,330.23385,340.625825
353.321375,,311.64885,308.98185,330.260625,340.6352
353.366925,,311.663475,308.98355,330.29915,340.658075
353.390925,,311.669175,309.052025,330.3316,340.6699
353.459925,,311.672925,309.078425,330.446825,340.868075
353.5396,,311.676175,309.19345,330.4767,341.1312
353.6306,,311.679725,309.2196,330.5107,341.29815
353.701975,,311.683225,309.232275,330.562,341.634375
353.905875,,311.695275,309.25235,330.646875,341.651525
353.973725,,311.70075,309.27305,330.748075,341.677275
354.0595,,311.747575,309.289975,330.800275,341.9851
354.379025,,311.75945,309.343875,330.914775,341.9906
354.5802,,311.7826,309.37915,331.02135,342.009525
355.096825,,311.818275,309.409175,331.14645,342.178825
355.13675,,311.860925,309.443525,331.2222,342.248975
355.157425,,311.87575,309.47465,331.356325,342.25445
355.16515,,311.89725,309.505875,331.399375,342.286975
355.2557,,311.9223,309.5253,331.4504,342.3579
355.258425,,311.965725,309.5475,331.49345,342.387625
355.318975,,311.99345,309.584,331.55135,342.41805
355.394,,312.0337,309.60425,331.601675,342.535025
355.415975,,312.051725,309.6368,332.0123,342.544125
355.899425,,312.071425,309.670725,332.223325,342.612975
356.12855,,312.098075,309.7014,332.4736,342.633125
356.130175,,312.12015,309.975975,332.5005,342.69995
356.131575,,312.129625,309.9946,332.53015,342.708525
356.18365,,312.140175,310.02445,332.576375,342.714675
356.291025,,312.166975,310.040975,332.67955,342.738925
356.780675,,312.17705,310.061725,332.689825,342.758
356.871075,,312.191275,310.11705,333.033725,343.0124
357.10955,,312.2444,310.156025,333.0613,343.091425
357.16765,,312.27105,310.17705,333.07855,343.143125
357.263675,,312.298325,310.224275,333.099675,343.161575
357.278275,,312.317675,310.277625,333.114925,343.27115
357.344025,,312.3388,310.336525,333.1284,343.322975
357.34855,,312.34645,310.415675,333.263575,343.3424
357.44905,,312.3609,310.443175,333.297025,343.429075
357.526625,,312.3736,310.476025,333.3535,343.48425
357.5427,,312.38335,310.503525,333.506,343.55185
357.655,,312.39375,310.52405,333.564225,343.91825
357.9261,,312.4059,310.557425,333.58495,343.983425
357.988775,,312.431125,310.61395,333.875725,344.004725
358.08205,,312.47305,310.8374,334.0322,344.086075
358.320425,,312.5105,310.8485,334.154425,344.1027
358.340225,,312.569625,310.86225,334.1751,344.242825
359.565375,,312.59945,310.8712,334.21515,344.265625
359.812575,,312.621275,310.884425,334.338125,344.27355
360.105775,,312.647375,310.900175,334.4933,344.4752
360.3108,,312.663425,310.915775,334.634075,344.602175
360.368275,,312.6849,310.9258,334.691525,344.625975
360.373875,,312.697325,310.93705,334.708675,344.64135
360.380975,,312.7171,310.9514,334.82855,344.684
360.382675,,312.723225,311.027075,334.83845,344.7755
360.429025,,312.73895,311.048325,334.9404,344.88625
360.53335,,312.759375,311.0554,334.9485,345.127425
360.59395,,312.785575,311.063125,334.99735,345.1558
360.658275,,312.80285,311.077725,335.0107,345.561225
360.8881,,312.82485,311.11475,335.02765,345.582475
361.02185,,312.852775,311.17675,335.10905,345.735425
361.196525,,312.878275,311.20745,335.13655,345.882375
361.362075,,312.913,311.29195,335.163275,346.06095
361.500325,,312.937275,311.33685,335.189725,346.13825
361.766375,,312.96125,311.367325,335.271075,346.4019
361.841575,,312.971875,311.394875,335.2854,346.54185
361.875875,,312.986825,311.416925,335.38095,346.5937
362.00905,,312.999175,311.4525,335.480875,346.650025
362.28695,,313.026525,311.46845,335.615275,346.941775
362.883775,,313.06075,311.4845,335.630725,347.05305
363.13885,,313.09805,311.51125,335.63895,347.124
363.20885,,313.1184,311.535,335.655325,347.558225
363.377525,,313.135075,311.57275,335.800675,347.762025
363.452175,,313.1702,311.7089,335.86385,347.891675
363.4758,,313.19415,311.721925,335.897025,348.051025
363.594325,,313.225575,311.73015,335.924425,348.201975
363.605875,,313.25275,311.739625,336.109,348.3627
363.70695,,313.276325,311.745975,336.283425,348.510775
363.71385,,313.288475,311.7517,336.514075,348.7541
363.748975,,313.311675,311.7554,336.589125,348.7668
363.902925,,313.334225,311.7589,336.59495,348.968325
363.952925,,313.385775,311.763525,336.67145,349.0476
364.3666,,313.404725,311.77185,336.7276,349.227475
364.4477,,313.418675,311.774775,336.7854,349.45875
364.604125,,313.44685,311.77925,336.7981,349.707775
