SPK_SPKC03a,SPK_SPKC10a,SPK_SPKC12a,SPK_SPKC13a
12.37295,16.764275,14.65105,7.643275
12.51735,16.77515,14.671275,7.713025
12.532675,16.80435,14.75555,7.77405
12.550925,16.823175,14.807075,7.844275
12.569025,16.843625,14.8778,7.8852
12.69185,16.85465,14.9564,7.89565
12.94185,16.879875,15.068475,7.9453
12.96455,16.910875,15.196025,7.99525
12.992125,16.947875,15.239975,8.090025
13.059125,16.9736,15.266625,8.185425
13.092825,16.999975,15.2874,8.226925
13.137075,17.02385,15.290875,8.258175
13.173825,17.0573,15.334675,8.287825
13.304975,17.08375,15.38845,8.33755
13.329775,17.29085,15.429,8.35975
13.3488,17.3695,15.439825,8.430475
13.506275,17.409675,15.520475,8.467425
13.638,17.424525,15.574175,8.497
13.690425,17.44275,15.723275,8.50795
13.7276,17.469525,15.796275,8.51585
13.769425,17.511125,15.854325,8.5316
13.847725,17.536875,15.872,8.541625
13.909125,17.5615,15.917475,8.5709
13.945825,17.631025,15.94875,8.587425
13.9534,17.7642,15.97685,8.60125
14.06185,17.844875,16.0071,8.6028
14.0772,17.886925,16.078975,8.604875
14.40295,17.894025,16.180225,8.627575
14.41385,17.9016,16.363175,8.65785
14.453725,17.915125,16.3802,8.6675
14.464725,17.93725,16.40895,8.6949
14.53175,17.965125,16.4511,8.709775
14.62095,18.002475,16.57455,8.76885
14.68205,18.052875,16.6381,8.872625
14.922475,18.120875,16.839475,8.92735
14.949375,18.151075,16.8925,8.9643
14.966575,18.166825,16.92105,8.993825
14.980275,18.18225,17.084925,9.050025
15.00945,18.201675,17.1352,9.107875
15.043075,18.220225,17.19585,9.122675
15.068225,18.2383,17.4245,9.15005
15.1154,18.26045,17.531125,9.152275
15.17175,18.314675,17.590475,9.195575
15.280375,18.335225,17.627575,9.216475
15.41395,18.35795,17.715525,9.2679
15.5648,18.376825,17.952,9.3448
15.597375,18.399925,17.977275,9.436425
15.641025,18.458725,18.07395,9.5096
15.6859,18.538475,18.1711,9.563425
15.70045,18.567675,18.405,9.644375
15.7147,18.59415,18.641375,9.698525
15.750675,18.630525,18.742475,9.77375
15.92715,18.662525,18.820325,9.8174
15.9638,18.686675,18.929275,9.895025
16.014475,18.737525,19.04825,9.90725
16.050475,18.850025,19.229025,9.91955
16.060675,18.8689,19.300475,9.94715
16.12315,18.874725,19.354475,10.005525
16.216075,18.898825,19.3978,10.0428
16.2637,18.9334,19.4709,10.126875
16.29535,19.014225,19.53445,10.141775
16.467975,19.160975,19.62565,10.178925
16.5886,19.2242,19.684775,10.264975
16.593725,19.276775,19.810125,10.327175
16.6487,19.3158,19.91665,10.36045
16.657625,19.54575,19.9993,10.39965
16.73375,19.6694,20.1925,10.4071
16.7367,19.744,20.356625,10.42295
16.861875,19.80485,20.43425,10.436775
16.9326,19.915525,20.51715,10.45425
16.9877,19.988575,20.579575,10.465575
17.05015,20.09225,20.6566,10.507425
17.1079,20.2074,20.72285,10.52295
17.158875,20.31045,20.773325,10.541775
17.209625,20.3617,21.00535,10.6643
17.25775,20.459,21.0545,10.668475
17.274,20.55435,21.118825,10.71465
17.467425,20.579625,21.169825,10.814825
17.498,20.66005,21.2197,10.843175
17.564575,20.760775,21.272425,10.884625
17.597925,20.9198,21.320275,10.9553
17.610275,20.961175,21.36415,10.996475
17.636025,20.990275,21.4745,11.0203
17.66625,21.002925,21.5485,11.20565
17.762675,21.034125,21.6302,11.309525
17.8679,21.046025,21.72915,11.34155
17.87415,21.065925,21.760875,11.39475
17.88605,21.100025,21.803975,11.598925
17.8976,21.238225,21.84455,11.6388
17.972675,21.42035,21.858975,11.6789
18.054925,21.48595,21.92495,11.7713
18.36215,21.510025,22.047625,11.774675
18.3743,21.5479,22.1068,11.807975
18.529125,21.5639,22.154975,11.8914
18.602325,21.577475,22.376425,11.952975
18.71315,21.588425,22.52165,11.95865
18.83795,21.60055,22.665025,11.993325
18.904925,21.61365,22.693875,12.03845
18.9853,21.6334,22.82555,12.083675
19.073525,21.647025,22.922175,12.123075
19.223125,21.65375,22.971975,12.176375
19.26335,21.671275,23.007525,12.26195
19.2956,21.6841,23.0652,12.361225
19.331525,21.6973,23.10185,12.4497
19.39055,21.706225,23.215225,12.61205
19.4205,21.71645,23.2988,12.6327
19.49605,21.7287,23.41835,12.6679
19.553525,21.7443,23.50035,12.713975
19.63535,21.7529,23.5978,12.748675
19.76965,21.75815,23.680575,12.858775
20.023025,21.769825,23.7363,12.936375
20.075825,21.78995,23.814025,12.97565
20.11435,21.80065,23.826775,13.009175
20.15965,21.80715,23.929225,13.02265
20.19125,21.818875,23.971225,13.0409
20.2204,21.83185,24.095175,13.0561
20.336125,21.8443,24.145775,13.09765
20.368925,21.852675,24.174925,13.10925
20.438175,21.85855,24.296125,13.12725
20.4624,21.869675,24.3715,13.173325
20.490975,21.884525,24.433825,13.39025
20.679575,21.892175,24.5819,13.455725
20.797375,21.901125,24.64025,13.4793
20.85015,21.920975,24.6953,13.493675
20.885075,21.938075,24.766,13.5375
20.894875,21.949875,24.829225,13.5827
20.909125,21.9646,24.916,13.635225
20.91425,21.98415,25.002125,13.701125
20.9399,21.99645,25.01385,13.77535
20.955775,22.007425,25.084725,13.83085
21.0825,22.01575,25.131325,13.8647
21.089725,22.03085,25.2171,13.881175
21.1495,22.04025,25.241175,13.8869
21.1958,22.053125,25.2704,13.896
21.255775,22.06475,25.34015,13.9095
21.37495,22.07165,25.4101,13.92925
21.568975,22.080275,25.471175,13.939975
21.587375,22.099575,25.47995,13.965075
21.636025,22.114825,25.512975,14.000675
21.6554,22.123175,25.707775,14.01885
21.6716,22.134275,25.7981,14.072675
21.738825,22.144125,25.87065,14.098425
21.759375,22.154425,25.927425,14.1459
21.8056,22.163,26.064225,14.194225
21.825025,22.17225,26.122875,14.3567
21.970375,22.19355,26.171575,14.39195
22.028,22.2057,26.21795,14.43665
22.039375,22.222225,26.251075,14.440075
22.139525,22.234525,26.29,14.449025
22.142125,22.2445,26.443175,14.4612
22.176675,22.255575,26.54395,14.477775
22.221725,22.275225,26.62165,14.49445
22.3558,22.2882,26.739875,14.549175
22.651425,22.301725,26.7935,14.5905
22.742025,22.309375,26.86175,14.601625
22.821575,22.31725,26.89655,14.61315
22.8347,22.334725,26.94005,14.63645
22.848125,22.3462,26.995175,14.664475
22.87075,22.363625,27.0585,14.76175
23.08475,22.373925,27.1279,14.80465
23.113775,22.3898,27.250875,14.8146
23.1278,22.40025,27.3206,14.922275
23.1829,22.4151,27.3742,14.97155
23.2764,22.43165,27.48325,15.00375
23.296525,22.443275,27.53135,15.006775
23.413975,22.453,27.567475,15.042125
23.450425,22.471425,27.60205,15.0592
23.532875,22.492275,27.6259,15.080225
23.581075,22.514375,27.760175,15.1217
23.611375,22.5421,27.815275,15.12545
23.657725,22.56255,27.84715,15.141725
23.7033,22.582225,28.00895,15.16375
23.842125,22.641225,28.09095,15.189375
23.862125,22.685075,28.17325,15.26995
23.870125,22.71305,28.25745,15.2982
23.888325,22.747975,28.3515,15.336
23.991975,22.788575,28.54685,15.4071
24.018,22.82745,28.678025,15.5022
24.1605,22.845325,28.67905,15.627175
24.161975,22.861525,28.727275,15.642225
24.239325,22.87525,28.74015,15.6538
24.248125,22.9011,28.781925,15.6629
24.3506,22.9246,28.849375,15.66885
24.59185,22.9623,28.93495,15.69155
24.8312,22.973875,29.018925,15.70295
24.871875,22.987075,29.0638,15.71525
24.94115,22.99585,29.123275,15.80715
24.95,23.011475,29.2164,15.8116
24.965475,23.031025,29.35065,15.8229
24.975125,23.045125,29.496375,15.826425
24.9774,23.0555,29.52745,15.850725
25.0994,23.065625,29.553425,15.860375
25.13875,23.07705,29.579075,15.8763
25.191275,23.088775,29.661825,15.9236
25.22695,23.09925,29.7286,15.9402
25.260375,23.110875,29.969875,15.951125
25.2923,23.1344,30.0823,16.012425
25.3176,23.14505,30.243375,16.042225
25.363925,23.170425,30.31865,16.05725
25.37305,23.178325,30.406575,16.07315
25.394475,23.1907,30.68795,16.091025
25.415475,23.20365,30.8062,16.14735
25.449125,23.217125,30.910275,16.17045
25.457925,23.244375,31.0073,16.222175
25.460325,23.271825,31.09555,16.33005
25.4879,23.2963,31.16735,16.3426
25.594425,23.33445,31.18915,16.35365
25.626575,23.38265,31.23125,16.366625
25.745025,23.404625,31.288725,16.3983
26.03065,23.41645,31.324875,16.432525
26.204075,23.4267,31.491875,16.451125
