SPK_SPKC01a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC15a
10.2397,15.44275,3.087925,24.2323,4.007775
10.329975,15.624025,3.151475,24.297775,4.0136
10.367525,15.688975,3.1731,24.33015,4.044675
10.39505,15.76175,3.204825,24.411575,4.076825
10.51895,16.1015,3.2277,24.457125,4.094025
10.521625,16.17805,3.257675,24.476375,4.14985
10.557375,16.236525,3.27865,24.50705,4.1935
10.57055,16.3342,3.306675,24.531975,4.218375
10.590575,16.5222,3.341375,24.54755,4.26535
10.607675,16.9467,3.38785,24.6313,4.299775
10.6271,17.2782,3.4176,24.787675,4.317075
10.677025,17.311625,3.440725,24.844875,4.328475
10.73275,17.6192,3.453775,24.888125,4.3435
10.7929,17.76355,3.467575,24.980775,4.368375
10.82915,18.209675,3.4821,25.029525,4.39045
10.841825,18.3109,3.49775,25.193775,4.404725
10.863925,18.44155,3.5154,25.2701,4.459125
10.90965,18.636325,3.5391,25.30135,4.48195
10.94915,19.085125,3.573525,25.361575,4.5049
11.11165,19.130275,3.602875,25.40175,4.5209
11.1473,19.628075,3.623275,25.431325,4.53605
11.2499,19.722975,3.63885,25.486975,4.54885
11.3082,19.8097,3.654475,25.509175,4.579825
11.677225,19.86525,3.67145,25.536575,4.62785
11.76665,19.888275,3.688475,25.559725,4.6418
11.82955,19.9109,3.7138,25.5819,4.662975
11.8385,19.9362,3.7547,25.60125,4.684125
11.847625,19.96985,3.790375,25.611725,4.737225
11.85975,19.998725,3.825975,25.725025,4.748475
11.9111,20.03335,3.853775,25.95145,4.766325
12.63665,20.07855,3.892725,26.12785,4.7837
12.6526,20.113625,3.941075,26.1983,4.796375
12.666525,20.208175,3.96105,26.310975,4.81245
12.67585,20.273925,3.9863,26.38435,4.831025
12.68045,20.464975,4.0224,26.42895,4.860625
12.70595,20.490675,4.072175,26.529325,4.8676
12.7249,20.527975,4.0857,26.796825,4.88235
12.73025,20.558925,4.0956,26.8071,4.893325
12.73265,20.65595,4.109925,26.81965,4.91155
12.76395,20.70555,4.11805,26.934425,4.9246
12.948925,20.77745,4.127725,27.03925,4.9386
13.008225,20.843725,4.13475,27.09525,4.966325
13.056275,20.8664,4.141825,27.154075,4.979075
13.072825,20.900375,4.150175,27.196025,4.99325
13.172425,20.948875,4.159075,27.2703,5.011875
13.185425,20.9903,4.168125,27.582225,5.020675
13.23305,21.1192,4.1831,27.605625,5.044425
13.26355,21.16755,4.19595,27.72965,5.06295
13.316325,21.19785,4.22175,27.741775,5.074225
13.37195,21.240275,4.259825,28.0222,5.085375
13.542225,21.280225,4.28375,28.103975,5.103
13.60335,21.33495,4.313875,28.211375,5.13445
13.631925,21.37295,4.348325,28.35745,5.149225
13.6503,21.41895,4.3734,28.386075,5.1578
13.701425,21.4562,4.397975,28.416675,5.1662
13.7587,21.49545,4.415225,28.438325,5.1722
13.77505,21.546125,4.436225,28.51025,5.23705
13.7969,21.54965,4.484575,28.72765,5.26155
13.98065,21.58415,4.498075,28.761375,5.285825
13.998325,21.65535,4.51095,28.771175,5.315775
14.012775,21.69165,4.525725,28.788825,5.326
14.081375,21.76335,4.5381,28.815475,5.33775
14.2429,21.7966,4.55695,28.8872,5.355075
14.245325,21.822375,4.5708,29.0759,5.541375
14.25155,21.851375,4.586475,29.092975,5.56675
14.426725,21.89345,4.60595,29.14065,5.60045
14.629075,21.939625,4.626125,29.16465,5.632475
14.83945,21.990025,4.64645,29.1878,5.63605
14.8458,22.0436,4.6776,29.214675,5.673025
14.871725,22.07265,4.705325,29.360075,5.69965
14.893775,22.15595,4.73485,29.382925,5.714625
14.91485,22.22695,4.77565,29.403375,5.72805
14.927825,22.284425,4.8158,29.498125,5.753375
14.941375,22.3312,4.839075,29.7983,5.759475
15.1066,22.38455,4.860125,29.83955,5.7718
15.119675,22.4188,4.87825,29.88755,5.809625
15.13965,22.487725,4.8953,29.922375,5.812675
15.187325,22.534225,4.91335,29.95345,5.972
15.25335,22.590025,4.947075,30.12565,5.9992
15.266675,22.6447,4.967775,30.17815,6.0206
15.2813,22.742275,4.99045,30.329025,6.033775
15.326675,22.782,5.032225,30.338875,6.05065
15.36695,22.948225,5.05255,30.3927,6.071625
15.45965,23.013175,5.0829,30.5609,6.095225
15.47625,23.162,5.10655,30.633725,6.100575
15.491,23.332875,5.14805,30.78495,6.12725
15.64345,23.36285,5.169525,30.8378,6.1639
15.67615,23.4472,5.229025,30.8868,6.203975
15.72315,23.501675,5.2865,30.94615,6.21955
16.100025,23.5451,5.316425,31.118075,6.23205
16.1435,23.716175,5.354575,31.228675,6.274425
16.4773,23.752325,5.381775,31.2566,6.294625
16.5115,23.78385,5.415,31.363925,6.3198
16.556075,23.81435,5.45725,31.430225,6.322125
16.61175,23.90095,5.506825,31.659775,6.33125
16.786725,24.03675,5.516425,31.694,6.338875
16.9935,24.057175,5.52845,31.95445,6.3557
17.045875,24.114325,5.555725,31.98135,6.3788
17.0986,24.169875,5.5695,32.004275,6.43935
17.11395,24.189475,5.58705,32.07385,6.49415
17.123675,24.2173,5.6007,32.559775,6.5256
17.1397,24.2538,5.6187,32.77905,6.562525
17.1864,24.4436,5.638325,32.7874,6.611025
17.280125,24.507275,5.665975,32.795725,6.6575
17.322375,24.561125,5.681525,32.830425,6.67285
17.34165,24.6009,5.7016,32.87445,6.6912
17.38325,24.62405,5.714125,32.898125,6.712
17.420275,24.634275,5.731375,33.19705,6.73595
17.46875,24.670075,5.747225,33.22105,6.786225
17.4827,24.6718,5.7731,33.31065,6.8264
17.48595,24.716775,5.79145,33.3356,6.87525
17.5057,24.8794,5.82415,33.353675,6.9118
17.5274,24.931375,5.85225,33.5876,6.92515
17.6093,24.967075,5.887025,33.82925,6.94375
17.639075,24.997175,5.918475,33.875125,6.9795
17.8922,25.0524,5.986175,34.164575,6.989875
17.897225,25.077875,6.004875,34.193325,7.0058
17.899525,25.154275,6.02855,34.240575,7.019075
17.901875,25.189675,6.04665,34.286325,7.030675
17.916825,25.254025,6.0805,34.362975,7.0447
18.15135,25.2749,6.105525,34.5282,7.06645
18.160575,25.2992,6.131875,34.54275,7.0809
18.164825,25.33485,6.17285,34.5769,7.113175
18.199675,25.394625,6.194875,34.612025,7.127225
18.213925,25.45465,6.215975,34.821375,7.14095
18.2494,25.49995,6.238425,34.898825,7.149775
18.270625,25.604575,6.26055,34.91225,7.18205
18.304375,25.618875,6.27835,34.92205,7.226525
18.432975,25.653775,6.29365,34.936175,7.251425
18.52755,25.656825,6.313525,34.95465,7.302775
18.583775,25.70235,6.34015,34.979225,7.331325
18.60485,25.7638,6.38655,35.062825,7.4068
18.644175,25.77955,6.412275,35.290725,7.419675
18.65575,25.80355,6.43695,35.3032,7.451175
18.66385,25.97975,6.4639,35.35595,7.4615
18.6841,26.00775,6.4876,35.41545,7.467425
18.7029,26.055725,6.5119,35.465475,7.49455
18.707625,26.081425,6.543025,35.492975,7.545625
18.7302,26.16005,6.57695,35.52285,7.566025
18.745125,26.203775,6.6052,35.55715,7.581025
18.863725,26.28915,6.628,35.59335,7.58215
18.8736,26.327,6.645525,35.69845,7.591175
18.900025,26.3834,6.6915,35.71535,7.6005
18.96855,26.445825,6.758375,35.843075,7.63075
18.98335,26.49695,6.785575,35.977775,7.6492
19.00215,26.663925,6.834325,36.055,7.682
19.01745,26.69855,6.866575,36.0733,7.69905
19.062425,26.724725,6.880525,36.1035,7.7493
19.11365,26.78355,6.89315,36.1138,7.776675
19.13695,26.83905,6.9122,36.1273,7.8841
19.151525,26.94505,6.9307,36.186075,7.905575
19.2336,26.966775,6.950125,36.220575,7.9157
19.2469,27.001625,6.968425,36.266775,7.9261
19.254175,27.04705,6.988025,36.292075,7.941325
19.261575,27.0662,7.010675,36.435275,7.967375
19.287075,27.13505,7.03715,36.591425,7.992825
19.299975,27.1934,7.06725,36.6337,8.0091
19.318975,27.31785,7.0922,36.662425,8.043625
19.3329,27.3206,7.118775,36.6753,8.09225
19.341625,27.346875,7.144775,36.74815,8.12015
19.38225,27.42495,7.174625,36.75375,8.138925
19.423,27.46245,7.192475,36.799175,8.154175
19.4811,27.571925,7.220075,36.8305,8.182825
19.53825,27.65705,7.247475,36.910925,8.20245
19.56655,27.68555,7.2693,37.15895,8.20975
19.603325,27.7008,7.296475,37.1696,8.22275
19.611075,27.785375,7.3184,37.221475,8.2511
19.664225,27.82825,7.3377,37.244075,8.2745
19.669425,27.864825,7.3472,37.305025,8.32465
19.685225,28.0053,7.36675,37.3426,8.4182
19.70185,28.03625,7.3765,37.3661,8.4919
19.709475,28.06655,7.412075,37.64015,8.5335
19.71905,28.09845,7.4364,37.653475,8.569025
19.78375,28.19295,7.4579,37.688675,8.59745
19.8135,28.259125,7.508575,37.704525,8.6175
19.821675,28.318,7.53805,37.728625,8.639775
19.8535,28.3421,7.567525,37.7553,8.6675
19.883625,28.37185,7.580875,37.7676,8.691825
19.905125,28.45365,7.59235,37.9047,8.712775
19.95285,28.49655,7.6094,38.0059,8.758075
19.970825,28.519575,7.625825,38.021675,8.784825
19.993675,28.528775,7.649925,38.0338,8.795475
20.015675,28.64435,7.6642,38.047275,8.801
20.060275,28.712525,7.70695,38.063225,8.803025
20.092825,28.999,7.7391,38.077225,8.839175
20.148325,29.053625,7.76855,38.09595,8.848025
20.1549,29.101625,7.801675,38.36985,8.862175
20.18505,29.110775,7.831575,38.3812,8.89435
20.19145,29.1148,7.863325,38.415725,8.941275
20.1952,29.196275,7.9102,38.425725,8.9616
20.265025,29.394825,7.918675,38.467725,9.0011
20.286375,29.432525,7.9321,38.4882,9.043375
20.385775,29.490475,7.94665,38.50375,9.058725
20.41145,29.53135,7.963225,38.537725,9.0672
20.496175,29.569225,7.9749,38.5761,9.0814
20.5531,29.801025,7.985975,38.63815,9.089
20.566075,29.95705,8.0046,38.729775,9.1004
20.579825,30.034775,8.020525,38.771525,9.11385
20.5933,30.0603,8.0415,38.807225,9.13145
20.65885,30.072975,8.0674,38.8325,9.158825
20.68025,30.13865,8.084975,38.8528,9.16
