SPK_SPKC06a (excited),SPK_SPKC06b (no effect),SPK_SPKC12a (NA)
5.383175,17.821675,3.2368
5.3988,18.0368,3.2565
5.409225,18.06195,3.2724
5.438275,18.124975,3.30135
5.454075,18.186875,3.32615
5.4614,18.3241,3.337925
5.482475,18.34975,3.34955
5.505,18.4811,3.35775
5.515475,18.546875,3.365075
5.5247,18.607925,3.37815
5.54365,18.63245,3.416125
5.558175,18.75375,3.435675
5.57515,18.802875,3.44805
5.5929,18.875875,3.46905
5.6913,18.91295,3.493125
5.704725,19.01795,3.514925
5.752775,19.063475,3.533475
5.77785,19.08135,3.550775
5.786175,19.119525,3.5645
5.809925,19.141575,3.56685
5.8237,19.177525,3.574875
5.85625,19.186975,3.595875
5.878475,19.202,3.62055
5.9065,19.235375,3.6358
5.9318,19.2554,3.6542
5.948575,19.2793,3.67165
5.983375,19.2997,3.6931
6.002475,19.3141,3.7139
6.017925,19.3231,3.7341
6.03325,19.35815,3.7553
6.0539,19.40155,3.773975
6.097575,19.415175,3.7799
6.1273,19.4613,3.789425
6.146525,19.480825,3.80255
6.1941,19.530475,3.817525
6.20875,19.643625,3.82995
6.22235,19.760275,3.839075
6.23805,19.779225,3.847975
6.270875,19.81215,3.864075
6.289425,19.827,3.871825
6.31715,19.8586,3.879425
6.332875,20.041175,3.885075
6.3489,20.055425,3.89165
6.3617,20.206525,3.903325
6.38,20.226925,3.917875
6.4616,20.2392,3.942825
6.50095,20.454925,3.9652
6.527575,20.51775,3.9823
6.560475,20.556275,3.983575
6.5966,20.626175,3.992325
6.62075,21.04475,4.002125
6.662975,21.101775,4.01525
6.673625,21.1783,4.03725
6.690475,21.220725,4.048075
6.704375,21.256625,4.05805
6.72,21.40395,4.065875
6.7706,21.4569,4.075725
6.8135,21.577125,4.0886
6.8543,21.692525,4.124075
6.8786,21.915425,4.13815
6.92715,21.9675,4.166925
6.9579,21.9837,4.184825
6.979475,22.2153,4.202375
7.01415,22.298225,4.223325
7.03035,22.4101,4.252525
7.095025,22.467825,4.270225
7.139025,22.5342,4.2818
7.155025,22.542375,4.284625
7.1736,22.55885,4.3172
7.20475,22.6299,4.3396
7.242275,22.669375,4.3636
7.287575,22.813225,4.394975
7.335375,23.0714,4.416125
7.374,23.1403,4.44355
7.4341,23.290875,4.4581
7.44685,23.395575,4.470525
7.4604,23.425175,4.480875
7.523725,23.472,4.49085
7.54885,23.502275,4.539425
7.6465,23.541175,4.553075
7.6739,24.2985,4.581875
7.70185,24.437475,4.602125
7.7369,24.6831,4.6248
7.7713,24.8811,4.63835
7.8204,25.298175,4.65045
7.84435,25.935925,4.663925
7.86165,26.0156,4.67495
7.902425,26.207575,4.687875
7.9224,26.316,4.70015
7.936675,26.39505,4.7294
7.95605,26.422975,4.732725
7.97915,27.271425,4.7542
7.994425,27.491475,4.763625
8.01285,27.582025,4.7694
8.0849,27.794625,4.78125
8.1089,28.20405,4.78855
8.146025,28.213225,4.80685
8.17985,28.25385,4.822425
8.19875,28.444,4.836325
8.2188,28.465525,4.843225
8.236,28.546725,4.854225
8.259575,28.6226,4.87815
8.278625,28.66845,4.8864
8.289025,28.6794,4.8943
8.308725,29.0343,4.904175
8.33015,29.05655,4.91315
8.349425,29.3001,4.925625
8.375575,29.3063,4.941225
8.4318,29.71425,4.952375
8.4599,30.25575,4.953525
8.508975,30.271575,4.966
8.54535,30.361675,4.9783
8.6688,30.753275,5.004925
8.6876,30.799425,5.019975
8.721025,30.8739,5.03095
8.730925,31.54485,5.04535
8.735425,32.2205,5.0646
8.74845,32.5987,5.07965
8.7529,32.64215,5.09525
8.75885,32.82035,5.116925
8.76535,32.8343,5.118575
8.837725,33.0379,5.1308
8.868175,33.073875,5.140725
8.88295,33.085175,5.146675
8.894975,33.22925,5.1558
8.9039,33.3728,5.16255
8.914725,33.6073,5.167775
8.9455,33.799675,5.173275
8.964525,33.84155,5.1793
8.995175,33.984425,5.18445
9.01725,34.0091,5.1895
9.0399,34.264925,5.2056
9.049225,34.43605,5.2167
9.0621,35.057,5.222
9.072525,35.0698,5.227875
9.08325,35.411275,5.23365
9.091325,35.5036,5.239025
9.127325,35.641475,5.267975
9.2366,35.664525,5.278775
9.250325,35.73545,5.2834
9.263325,36.1224,5.28845
9.313025,36.15895,5.30375
9.337975,36.178925,5.318525
9.3959,36.37065,5.33945
9.4434,36.485,5.3445
9.464175,36.608925,5.36645
9.485375,36.770025,5.37045
9.51065,36.863925,5.387825
9.53145,36.919025,5.40105
9.5535,37.12815,5.40595
9.618525,37.15785,5.41585
9.64375,37.1769,5.4216
9.6661,37.1931,5.426825
9.7318,37.651425,5.439225
9.7537,37.944675,5.449575
9.779,38.047125,5.457525
9.8073,38.0886,5.472675
9.834725,38.330875,5.4755
9.8714,38.4688,5.522625
9.893675,38.685125,5.5282
9.900425,38.843,5.5607
9.9092,38.893875,5.565475
9.913875,38.936625,5.58225
