SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC02c,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC06a,SPK_SPKC06b,SPK_SPKC07a,SPK_SPKC09a
6.14515,5.7973,3.6161,6.001975,4.422,8.1391,5.16515,2.6719,9.549775
6.253525,5.920725,3.645225,6.11435,4.48485,8.196825,5.2386,2.71465,9.654375
6.3107,5.990975,3.69815,6.122975,4.538475,8.60385,5.2773,2.76,9.988375
6.4315,6.0258,3.7108,6.298825,4.5956,8.68305,5.321425,2.81665,10.047125
6.578275,6.097475,3.743575,6.4193,4.6587,8.79005,5.413175,2.879975,10.067925
6.602625,6.170725,3.768675,6.523925,4.72875,8.81905,5.45705,2.932225,10.14985
6.64795,6.221875,3.816225,6.56515,4.777025,8.899475,5.491125,3.044425,10.444975
6.82405,6.254675,4.04345,6.72355,5.040325,8.986225,5.522075,3.078675,10.763775
6.885,6.29825,4.1336,6.8013,5.2221,9.086625,5.557475,3.11225,10.953925
6.903225,6.3064,4.157875,6.902425,5.25865,9.167575,5.62975,3.163,10.9911
6.916875,6.35445,4.20075,6.95425,5.324175,9.219025,5.657725,3.198825,11.19135
7.0219,6.3986,4.220125,7.044975,5.366025,9.437725,5.6638,3.21125,11.213075
7.2101,6.4432,4.23355,7.136075,5.440275,9.6214,5.706225,3.231125,11.231675
7.255275,6.50355,4.2452,7.330125,5.449025,9.67175,5.731175,3.28705,11.28155
7.392975,6.534275,4.257325,7.666275,5.605775,9.71605,5.7357,3.29695,11.410525
7.522025,6.5532,4.2759,7.73305,5.683675,9.787625,5.790325,3.30635,11.5033
7.575075,6.591675,4.3034,7.78215,5.761225,9.8666,5.83465,3.358275,11.5398
7.62285,6.670975,4.332675,7.831425,5.853875,10.007825,5.9456,3.398825,11.56865
7.67315,6.67475,4.3455,7.881975,5.99605,10.1108,6.026525,3.404825,11.7222
7.80605,6.72225,4.37125,7.9297,6.071125,10.29885,6.087175,3.415275,11.7704
7.828,6.779175,4.3821,7.984775,6.140975,10.6053,6.180425,3.434825,11.8229
7.87715,6.81155,4.4218,8.1263,6.17315,10.7649,6.29465,3.444325,11.87805
8.027275,6.8925,5.198925,8.179125,6.2027,10.85305,6.35245,3.48285,11.922375
8.032275,6.992,5.240025,8.239925,6.416725,11.25925,6.3783,3.55125,11.94535
8.07025,7.115725,5.258025,8.295325,6.5082,11.35515,6.433175,3.5897,12.0159
8.13835,7.1169,5.68205,8.42875,6.604675,11.480675,6.462275,3.624825,12.152925
8.38705,7.1872,5.83545,8.508475,6.705975,11.5882,6.502775,3.63225,12.514875
8.66195,7.22555,5.8491,8.57695,6.715875,11.641475,6.5438,3.68695,12.578575
8.6709,7.2784,5.889275,8.6373,6.75795,11.7009,6.5679,3.725775,12.71595
8.7113,7.414825,5.9119,8.704425,6.82675,11.7243,6.58635,3.7526,13.01135
8.7348,7.489775,5.9395,8.808725,6.944,11.855425,6.590525,3.7655,13.6799
8.8066,7.699475,5.9713,8.963075,6.99895,11.906525,6.62265,3.80035,13.701925
8.936675,7.71395,6.029825,9.076325,7.05045,11.9883,6.660425,3.8551,13.742975
9.003475,7.729525,6.045075,9.114425,7.13505,12.101175,6.6884,3.88865,13.912725
9.140075,7.750625,6.0617,9.33825,7.18535,12.1705,6.7055,3.9414,13.959325
9.1663,7.80005,6.09355,9.635975,7.25855,12.3182,6.744225,3.94365,13.99525
9.194975,7.856625,6.14995,9.700625,7.299,12.360725,6.786125,4.055225,14.1292
9.247275,7.913875,6.21415,9.9248,7.3999,12.54595,6.915075,4.113375,14.20425
9.31775,7.966725,6.238675,10.109375,7.455375,12.66275,6.984975,4.158975,14.33755
9.44025,7.997625,6.8153,10.4432,7.517125,12.794325,7.029775,4.1779,14.588625
9.644575,8.0931,6.90015,10.532575,7.6054,12.97715,7.07545,4.206625,14.6845
9.7005,8.1359,6.9673,10.628125,7.65315,13.161975,7.12275,4.259125,14.783175
9.716875,8.15895,7.006625,10.76975,7.75025,13.2662,7.1792,4.282675,15.188975
9.8003,8.235625,7.02415,10.891475,7.79075,13.3361,7.217975,4.3755,15.24905
9.811175,8.257925,7.074825,11.1187,7.865,13.426025,7.26455,4.427825,15.469875
9.940925,8.289475,7.34445,11.25315,7.8999,13.4966,7.3184,4.463,15.68035
10.005675,8.3488,7.445925,11.313125,7.911,13.6796,7.366425,4.49175,16.4362
10.3234,8.35625,7.4989,11.37455,8.12395,13.823025,7.412325,4.497425,16.4554
10.588425,8.39085,7.54535,11.382225,8.1654,13.90935,7.521225,4.519525,16.504425
10.95,8.4625,7.581125,11.47025,8.1932,13.981375,7.55185,4.556075,16.715725
11.02905,8.51715,7.613825,11.51435,8.220825,14.063125,7.65825,4.568075,16.75505
11.076775,8.547825,7.63,11.5714,8.253225,14.12705,7.712425,4.6121,16.788375
11.119825,8.5939,7.652075,11.63615,8.319575,14.1908,7.74715,4.62195,16.835275
11.156175,8.636675,7.676625,11.705275,8.3703,14.293325,7.79235,4.64645,16.85855
