SPK_SPKC08a (inh/exc),SPK_SPKC08b (inhi/exc),SPK_SPKC10a (inhi),SPK_SPKC14a (inhi)
82.374375,101.1846,100.06835,141.416175
82.387075,101.332175,100.118475,141.87365
82.424775,101.55095,100.152575,141.90485
82.527425,101.6758,100.186625,142.297075
82.666,101.93365,100.217425,142.3403
82.8432,102.0611,100.259925,142.800925
82.878275,102.226175,100.314575,143.12665
82.918025,102.672075,100.3551,143.599725
82.9394,102.807025,100.392275,143.719225
82.961075,102.998675,100.426475,143.8159
83.07635,103.05155,100.501575,144.566875
83.2068,103.23085,100.583025,144.709025
83.310025,103.349,100.63345,144.7689
83.357225,103.482575,100.671275,145.3652
83.4739,103.6049,100.730225,145.465875
83.5408,103.771175,100.7552,145.68765
83.5755,103.837075,100.86415,145.773025
83.656,103.96685,100.89415,146.0632
83.682075,104.104075,100.9704,146.503675
83.724475,104.209575,100.994625,146.558925
83.930475,104.27525,101.023425,146.5836
83.967275,104.28405,101.043425,147.16145
83.984975,104.4258,101.058875,147.239725
84.04955,104.5512,101.0896,147.422675
84.462125,104.911025,101.115575,147.636225
84.525775,104.961275,101.178175,147.7421
84.529275,105.057825,101.198875,148.04625
84.536475,105.1433,101.23925,148.5779
84.6433,105.22345,101.329125,149.685725
84.755575,105.508875,101.38085,150.083225
84.877975,105.5978,101.435125,150.1782
84.896475,105.686675,101.45075,150.235125
84.9563,105.783075,101.493975,150.291325
85.090675,105.932325,101.5219,150.42925
85.24425,106.030525,101.557425,150.7999
85.278075,106.138225,101.660425,151.1578
85.31955,106.284975,101.747,151.374575
85.423975,106.385625,101.80355,151.41655
85.47895,106.494225,101.816475,151.44245
85.5256,106.559925,101.8865,151.504425
85.696075,106.742525,101.908,151.829675
85.950675,106.807275,101.960475,152.249325
86.0189,106.894925,102.02335,152.309775
86.088,107.019725,102.057025,152.71255
86.126175,107.15525,102.149175,152.75955
86.208025,107.509375,102.22225,152.81695
86.56325,107.66545,102.26045,153.13585
86.683975,107.7393,102.279575,153.223975
86.692475,107.833125,102.30605,153.253725
86.734425,107.946775,102.33735,153.6319
86.8874,108.08135,102.3566,153.6708
86.902675,108.202225,102.363875,153.69295
87.073475,108.22225,102.477375,154.129275
87.179575,108.464675,102.53525,154.224225
87.242575,108.558275,102.556625,154.2572
87.309225,108.70905,102.606225,154.442575
87.51605,108.78475,102.6617,154.58375
87.561525,108.91175,102.6875,155.11115
87.79945,109.113975,102.7954,155.795625
87.832425,109.247525,102.8716,156.0025
87.862175,109.3927,102.9267,156.07775
87.8687,109.541975,102.93975,156.3514
87.8922,109.5841,102.988375,156.9239
87.93255,109.72495,103.021,157.556625
87.953675,109.88515,103.029825,157.974825
87.97965,110.222975,103.06605,158.057275
88.08215,110.32755,103.156625,158.14065
88.1026,110.51765,103.21315,158.233675
88.139325,110.644975,103.24295,158.29345
88.178575,110.82115,103.260075,158.33245
88.221725,110.904575,103.3279,158.35475
88.334025,111.05915,103.3702,158.8666
88.709125,111.329325,103.395475,159.146725
88.8574,111.384975,103.4019,159.19355
88.880975,111.40765,103.471175,159.5224
89.025975,111.5673,103.484025,159.66475
89.190325,111.69255,103.524225,159.7971
89.2226,111.8438,103.579925,159.928275
89.382925,112.021,103.647975,161.05665
89.494225,112.1223,103.6642,161.12515
89.6166,112.151325,103.6775,161.203675
89.6841,112.18145,103.711575,161.2682
89.749625,112.4098,103.74135,161.4781
89.95385,112.622275,103.756625,161.873525
89.97195,112.742825,103.816575,162.199625
90.013075,112.849475,103.838925,162.294675
90.126,112.902725,103.886375,162.36755
90.183925,113.0932,103.9105,162.600425
90.521775,113.38995,103.9459,163.174225
90.649,113.6004,103.993075,163.2223
90.6532,113.73015,104.0948,163.605375
91.059625,113.97525,104.1331,163.7183
91.637175,114.18845,104.209225,163.7632
91.931175,114.3306,104.227625,163.874675
91.977825,114.552375,104.2553,163.95455
92.305675,114.6432,104.322675,164.3211
92.58515,114.755375,104.406275,164.753025
92.6344,114.88585,104.419025,164.9397
92.728725,114.98705,104.4854,165.306075
92.737875,115.125375,104.519575,165.6893
92.8647,115.2521,104.59895,165.943175
93.2155,115.47055,104.65915,165.99215
93.298725,115.58355,104.71015,166.4918
93.833375,115.674125,104.7664,166.6696
93.884875,115.79235,104.804775,166.729975
94.00325,115.9229,104.8311,166.76625
94.181525,116.12265,104.94875,167.66505
94.294275,116.35365,105.00945,167.92865
94.358275,116.420725,105.0374,168.21445
94.36925,116.4734,105.0668,168.420175
94.526425,116.725775,105.096675,168.7062
94.700025,116.870375,105.1587,168.85425
94.89205,117.093025,105.210025,169.1372
94.90935,117.173525,105.256825,169.173625
95.1779,117.388625,105.294525,169.297575
95.233775,117.515925,105.31315,169.406
95.2395,117.599525,105.350275,169.497325
95.362025,117.780325,105.38895,169.532075
95.51925,117.8512,105.454425,169.5609
95.745375,117.921875,105.4876,170.032
96.043325,118.0196,105.518475,170.077475
96.20075,118.159775,105.605175,170.440375
96.23935,118.256525,105.664775,170.52195
96.267875,118.3975,105.706725,170.8343
96.2835,118.591,105.733525,170.87935
96.3061,118.714675,105.8661,171.2953
96.447125,118.9222,105.916,171.683825
96.536425,119.097075,105.93805,171.72335
96.642075,119.215375,106.0505,171.75785
96.647825,119.376175,106.0777,172.088575
96.72945,119.475175,106.113975,172.1835
96.945575,119.601475,106.130025,172.469325
97.021475,119.6214,106.1594,172.548825
97.030975,119.6989,106.23445,172.90145
97.0943,119.781375,106.274375,173.001625
97.3357,119.859225,106.30405,173.22135
97.34665,120.1526,106.3179,173.338425
97.6787,120.2259,106.3775,173.3871
97.8915,120.54855,106.41045,173.4559
97.995925,120.624725,106.433925,173.51145
98.5802,120.69095,106.47115,173.55925
98.6592,120.86445,106.556425,174.48675
98.94675,120.942575,106.5844,174.57805
99.10445,120.9587,106.6227,175.191625
99.323175,121.08645,106.661225,175.74055
99.4675,121.19015,106.7071,175.796675
99.4942,121.498325,106.733475,175.85385
99.772825,121.644425,106.82195,175.92145
100.18945,121.7,106.97185,175.996325
100.543375,121.786575,107.03445,176.112175
100.651875,121.911975,107.1166,176.667675
101.07825,122.10595,107.143825,177.107425
101.17625,122.17015,107.194075,177.4689
102.222025,122.385,107.21065,177.5235
102.33915,122.68575,107.274575,177.551375
102.4493,122.833675,107.2973,177.880075
102.983975,123.04135,107.37175,178.06615
103.012925,123.114925,107.416875,178.372475
103.161025,123.1764,107.45445,178.5552
103.7487,123.246425,107.491625,178.75635
103.9035,123.351125,107.5304,178.87595
104.596,123.4082,107.59835,178.909075
104.6305,123.527025,107.62015,179.30365
105.179975,124.1479,107.660325,179.39315
105.519775,124.355275,107.6787,179.66795
105.836,124.494625,107.75415,179.729775
106.01735,124.52005,107.7711,179.7608
106.020975,124.63005,107.82115,180.16715
106.16895,124.789225,107.90845,180.6758
106.51735,124.862525,107.934225,180.729975
106.70005,125.044925,107.967825,180.7633
107.09715,125.176725,107.9993,181.233925
107.25235,125.247675,108.0866,181.275075
107.636475,125.372075,108.12195,182.348
107.9936,125.467625,108.1506,182.6322
108.064325,125.542525,108.171525,182.728275
108.2327,125.67095,108.216625,183.097125
108.949725,125.75925,108.247025,183.122725
109.909975,125.843675,108.292325,183.366775
110.09025,125.9983,108.320475,183.79865
110.4099,126.08485,108.373575,183.86235
110.75875,126.209775,108.410325,184.539125
110.97755,126.3676,108.4516,185.053325
112.188225,126.4504,108.464425,185.1592
112.49525,126.685925,108.4937,185.2451
112.7155,126.83095,108.5836,185.3122
112.8193,127.0544,108.65035,185.7053
112.941075,127.1553,108.680825,186.036
113.0445,127.518625,108.714275,186.093575
113.77845,127.7396,108.7461,186.47985
114.45805,128.02415,108.76915,187.13065
114.6299,128.232775,108.833775,187.208875
115.0088,128.34985,108.8733,187.291225
115.249475,128.46315,108.913,187.34155
115.34315,128.6353,108.938175,187.683275
115.50235,128.80275,108.95835,187.769125
116.06745,128.962475,108.98725,188.0693
116.192725,129.064125,109.0782,188.44085
116.432225,129.132775,109.153475,188.49745
116.820375,129.20075,109.17345,188.55805
117.009325,129.2671,109.19405,188.88115
117.545475,129.34675,109.294175,188.939175
117.58275,129.41335,109.309875,189.3566
117.9485,129.48375,109.34725,189.405875
118.12125,129.62525,109.374275,189.550525
118.2708,129.694025,109.4659,189.628325
118.67145,129.94485,109.47975,189.696975
119.010125,130.060175,109.503275,190.2906
119.839775,130.27055,109.52765,190.3536
120.120175,130.370425,109.555475,190.8429
120.550225,130.470075,109.598,190.94455
120.612125,130.71865,109.630775,191.692425
121.289975,130.79055,109.739,191.770575
121.6925,130.9006,109.790375,192.145225
122.0811,131.0414,109.8233,192.185925
122.731675,131.106725,109.8483,192.442425
122.89445,131.238825,109.864275,192.65095
123.002725,131.330075,109.918975,193.058425
123.18055,131.454175,109.995175,193.105975
123.3339,131.59385,110.156275,193.17345
123.346775,131.67555,110.21125,193.6148
123.673325,131.767075,110.2832,194.117825
123.700325,131.863175,110.313175,194.17445
124.845575,131.9403,110.33705,194.54225
125.5405,132.23465,110.40325,194.7299
125.711525,132.319575,110.434225,195.6115
126.076375,132.407,110.532575,195.67205
126.414275,132.570775,110.559675,195.7764
126.59635,132.663075,110.5958,195.88335
126.627975,132.909725,110.671625,195.953125
126.736775,133.019525,110.714325,196.24195
126.886575,133.31185,110.754425,196.275275
127.172975,133.452675,110.785175,196.7545
127.17735,133.5217,110.8651,196.9434
127.362,133.634925,110.956125,197.0346
127.538725,133.7612,110.9861,197.468875
128.2312,133.864975,111.0094,198.12225
128.310925,134.03805,111.0375,198.244025
128.7788,134.130625,111.063175,198.686175
129.35065,134.2219,111.11445,198.744575
129.488075,134.286425,111.1444,198.803275
129.866425,134.4658,111.1745,199.389425
130.696275,134.547275,111.21005,199.92935
131.2757,134.5974,111.25795,200.7575
131.36545,134.71445,111.33855,200.8305
131.6065,134.830375,111.371375,201.2824
131.94965,134.911125,111.415575,201.612425
132.003475,134.986,111.45345,201.67855
132.033925,135.112125,111.483225,202.273425
132.20555,135.1864,111.518225,202.4303
132.276725,135.288275,111.5933,202.614775
132.63925,135.38685,111.62515,203.200875
132.84095,135.497,111.6863,203.526
132.900475,135.68475,111.71695,204.08915
132.986575,135.943625,111.75725,204.22945
133.104825,136.4176,111.793875,204.307325
133.190225,136.629125,111.828175,204.67705
133.43085,136.661675,111.889625,205.319875
133.471,136.8701,111.922075,205.6883
133.82335,137.068075,111.95455,205.737175
134.5401,137.1834,111.997975,205.8049
134.707075,137.31565,112.027325,205.8161
134.712625,137.437,112.05865,206.12065
134.8069,137.644275,112.12975,206.164625
134.861925,137.718175,112.17855,206.2022
134.865625,137.76005,112.206725,206.711175
135.156375,137.904,112.231,206.9979
135.16505,138.008475,112.262875,207.36345
135.504125,138.0756,112.29655,207.409325
135.977825,138.18965,112.327375,207.778325
136.322075,138.346525,112.3456,207.838875
136.557275,138.54485,112.415725,208.607875
137.71255,138.676425,112.43905,208.9573
138.1484,138.748025,112.492625,209.022125
138.91265,138.7974,112.5122,209.080025
138.94725,139.015225,112.533075,209.1536
139.211775,139.279175,112.66135,209.549175
139.404825,139.44155,112.728375,209.9807
139.542,139.576325,112.746525,210.5507
139.5459,139.804175,112.784725,211.268425
139.71305,140.002175,112.832875,211.47385
139.8342,140.143825,112.855075,211.653125
139.94505,140.320525,112.879325,211.950125
140.24145,140.479625,112.92135,211.99445
141.466325,140.671275,112.980075,212.46655
141.530125,140.777325,113.005025,212.56845
141.6428,140.8425,113.030775,212.60405
141.7734,140.967525,113.055175,212.659875
141.96005,141.215675,113.090125,212.7149
142.306875,141.2625,113.14725,213.33035
142.519225,141.3741,113.162925,213.55795
143.016675,141.568425,113.1891,213.63495
143.133775,141.6513,113.239025,213.7453
143.156975,141.767075,113.298375,214.184975
143.494575,141.8834,113.399025,214.342575
143.8183,142.211575,113.433575,214.396675
143.84525,142.3835,113.502375,214.85685
143.910175,142.5058,113.539225,215.83085
144.046225,142.624525,113.570075,216.183175
144.4611,142.7312,113.65295,216.508175
144.6006,142.88735,113.677275,216.852975
144.913975,143.2591,113.7314,217.0774
146.1634,143.4436,113.7535,217.136
146.243175,143.51185,113.8327,217.328225
146.324675,143.7423,113.886075,217.6496
146.501675,144.06545,113.9133,218.326975
146.668925,144.15785,113.94155,218.4622
147.074725,144.250175,113.971875,218.796
147.1177,144.347575,113.992025,218.912825
147.2035,144.54215,114.027625,218.950375
147.308375,144.679975,114.06015,219.004375
147.3467,144.85455,114.0806,219.6407
147.460675,144.932275,114.157375,219.858875
147.53015,145.0187,114.194775,219.920125
147.596375,145.10205,114.224825,220.115075
147.6231,145.210975,114.2686,220.172675
147.705675,145.299925,114.31545,220.59595
148.475325,145.42015,114.333225,220.7549
148.510075,145.57735,114.3567,221.1586
148.80715,145.660625,114.422825,221.510725
