SPK_SPKC04a (inhi),SPK_SPKC08a (sharp exc?),SPK_SPKC09a (no opto-tagging)
10.589725,125.9206,5.928425
10.6085,125.983125,5.962875
10.645425,126.0441,5.98385
10.6656,126.3008,6.0253
10.693825,126.5717,6.040625
10.7128,126.952075,6.062475
10.7394,127.790075,6.085575
10.769725,128.889725,6.097975
10.7964,129.342175,6.107725
10.82545,131.32325,6.121175
10.8588,131.7002,6.1467
10.890075,132.55695,6.1702
10.918975,132.63655,6.1867
10.965025,133.21725,6.210525
10.985875,133.63915,6.249875
11.02005,134.369025,6.30145
11.05845,134.790225,6.314025
11.10295,135.36865,6.33745
11.193775,136.51215,6.358425
11.24145,136.964025,6.3924
11.317425,137.186425,6.407875
11.379075,138.0934,6.42715
11.424375,138.173025,6.4791
11.4753,139.200975,6.5115
11.506975,139.3925,6.562725
11.5308,139.855275,6.5897
11.566875,140.07945,6.62075
11.613475,140.49225,6.66315
11.66675,140.57465,6.6961
11.7576,140.6162,6.70945
11.8333,141.0718,6.729025
11.9295,141.5781,6.743575
12.0058,142.03795,6.769325
12.074725,143.25765,6.7822
12.1397,143.67225,6.813975
12.1837,145.66395,6.84285
12.217325,148.575325,6.869075
12.239225,148.902975,6.880025
12.25835,148.944625,6.923025
12.28905,149.416125,6.931225
12.326275,149.99605,6.954625
12.36275,150.171225,6.96785
12.40165,150.3796,6.983875
12.4513,150.75765,7.0011
12.500125,151.494625,7.0243
12.6083,152.362825,7.036575
12.698125,154.13785,7.050625
12.7875,154.323825,7.06135
12.900925,154.719125,7.097375
12.96545,155.3165,7.109175
13.0632,155.411175,7.133675
13.152675,155.728025,7.149425
13.2529,155.911975,7.160475
13.3979,156.54175,7.207925
13.492575,157.1271,7.22575
13.54745,158.10535,7.2472
13.597975,158.661925,7.272
13.624875,160.086675,7.29255
13.650025,160.283625,7.33595
13.663275,160.79795,7.3564
13.6863,161.377475,7.37945
13.726,161.877225,7.406075
13.758175,161.904975,7.423525
13.7753,162.521775,7.439225
13.795525,162.843,7.4673
13.81835,163.0844,7.4894
13.8381,163.4255,7.50105
13.8648,163.52405,7.52015
13.891725,163.572375,7.553175
