SPK_SPKC01a,SPK_SPKC02b,SPK_SPKC11a,SPK_SPKC13b
112.27035,109.59315,103.687425,113.686125
112.44775,109.595025,103.721625,113.743225
112.488275,109.64735,103.736825,113.92265
112.77485,109.649525,103.764325,113.9547
112.841425,109.6777,103.796375,113.9752
112.8582,109.715725,103.83535,114.013075
112.914875,109.73545,103.88585,114.03435
113.075575,109.737675,103.937,114.18105
113.17325,109.7597,103.961425,114.219625
113.271375,109.77455,103.996675,114.264625
113.288475,109.854825,104.025775,114.27945
113.384675,109.857475,104.040125,114.350825
113.428975,109.8709,104.073575,114.584525
113.45585,109.92215,104.1204,114.6311
113.724825,109.9277,104.148025,114.89455
113.7564,110.0531,104.189075,114.92125
113.855725,110.145175,104.218825,114.97115
113.891125,110.161175,104.27015,114.9994
113.9818,110.21185,104.299325,115.027175
114.008425,110.242975,104.34085,115.11555
114.040625,110.256025,104.3816,115.32385
114.0719,110.263,104.413475,115.379125
114.11355,110.35015,104.465575,115.606025
114.1721,110.407175,104.503525,115.64575
114.264925,110.453825,104.5566,115.684325
114.2994,110.45635,104.612075,115.70405
114.331975,110.487775,104.66405,115.78255
114.393225,110.512925,104.696175,115.886075
114.60395,110.5681,104.7325,115.908375
114.702875,110.6329,104.763875,115.987625
114.718575,110.70715,104.799775,116.09355
114.726,110.7346,104.84045,116.139
114.75625,110.79005,104.8662,116.325975
114.79535,110.86325,104.8909,116.402
114.817675,110.881325,104.90315,116.451875
114.848025,110.882875,104.9148,116.50905
114.886125,110.956175,104.923775,116.73615
114.90665,111.052575,104.9356,116.773375
114.98305,111.067375,104.94825,116.80675
115.059525,111.08495,104.956025,116.82935
115.088,111.11405,104.978525,116.8875
115.32975,111.17995,104.999775,116.977175
115.382325,111.25415,105.02345,117.007325
115.3939,111.255975,105.044325,117.16875
115.489325,111.271,105.063525,117.226825
115.5089,111.2969,105.089275,117.246575
115.56005,111.7191,105.1088,117.4059
115.5907,111.919125,105.1216,117.6747
115.63015,112.006325,105.144725,117.71715
115.679875,112.050825,105.179875,117.740875
115.7487,112.274725,105.20135,117.763925
115.868175,112.37185,105.229025,117.789375
115.9864,112.392225,105.2543,117.838425
116.031325,112.4271,105.2917,118.01865
116.062325,112.43565,105.3292,118.13125
116.118175,112.488275,105.3491,118.175325
116.283525,112.49625,105.373375,118.200975
116.39375,112.5958,105.392,118.45615
116.57935,112.72365,105.407525,118.54505
116.672825,112.7542,105.42225,118.6021
116.693175,112.7749,105.452,118.730475
116.743525,112.786725,105.46845,118.8911
117.031525,112.84915,105.485,119.109625
117.080475,112.907675,105.510025,119.15335
117.282325,112.940775,105.519225,119.20065
117.497225,112.94285,105.529625,119.39775
117.655825,112.9992,105.549175,119.42665
118.278525,113.059225,105.563375,119.681975
118.456375,113.1515,105.573225,119.69505
118.6182,113.2252,105.598375,119.7412
118.65465,113.28845,105.632175,119.8331
118.7227,113.384675,105.657575,119.856925
118.9214,113.455825,105.68765,119.9519
119.3293,113.4975,105.71175,120.0498
119.721875,113.50895,105.75685,120.36995
119.898675,113.536725,105.780225,120.439725
120.080475,113.605125,105.800825,120.509575
120.204125,113.64515,105.8261,120.550225
120.3262,113.711075,105.850325,120.613425
121.238875,113.735075,105.87475,120.73095
121.743375,113.74805,105.906275,120.82285
121.81685,113.813425,105.920175,121.096725
121.88375,113.855675,105.9444,121.1306
121.921375,113.857675,105.968375,121.371575
121.990125,113.9233,105.9893,121.4242
122.016475,113.94175,106.01135,121.4901
122.04925,114.027475,106.053225,121.6281
122.1088,114.049175,106.080075,121.8446
122.119625,114.11215,106.094875,121.858575
122.14045,114.146525,106.1354,122.846125
122.18875,114.163,106.16895,122.902825
122.2738,114.243325,106.20325,122.922025
122.29795,114.2994,106.255775,123.262525
122.3403,114.319775,106.2983,123.2746
122.369375,114.3932,106.338675,123.312625
122.388575,114.547925,106.364575,123.353025
122.431025,114.6039,106.38515,123.383325
122.4716,114.643425,106.397425,123.628175
122.532575,114.69625,106.409625,123.706375
122.55545,114.71115,106.4286,124.10405
122.568475,114.71855,106.43985,124.142425
122.58495,114.725975,106.459375,124.1906
122.615525,114.7563,106.470475,124.20475
122.728775,114.776625,106.4811,124.244675
122.791675,114.78315,106.493375,124.286
122.970575,114.817675,106.50945,124.384975
123.0398,114.8855,106.5248,124.427375
123.065575,114.90665,106.547575,124.4738
123.139425,114.91515,106.567575,124.5671
123.177275,114.975075,106.58885,124.637975
123.28465,115.030625,106.604675,124.663775
123.3109,115.0501,106.62795,124.6904
123.39165,115.1036,106.650575,124.76135
123.409175,115.23255,106.6821,124.789475
123.427625,115.269925,106.71915,124.859075
123.46325,115.321425,106.7565,124.913275
123.61365,115.3298,106.778575,125.24775
123.653375,115.3347,106.816,125.280275
123.6915,115.3532,106.842375,125.330325
123.7307,115.3827,106.878175,125.350175
123.7505,115.393875,106.906875,125.4478
123.79815,115.410275,106.953725,125.4771
123.8405,115.43585,106.980325,125.516675
123.904125,115.444725,107.034,125.5619
123.946,115.45935,107.0767,125.6599
124.1475,115.5046,107.096775,125.674175
124.1651,115.50885,107.13485,125.9203
124.18515,115.531075,107.186775,125.95555
124.204375,115.56,107.22665,125.997275
124.2951,115.748675,107.2741,126.0221
124.3773,115.7595,107.32955,126.061275
124.5058,115.8681,107.3714,126.1041
124.558075,115.9318,107.409575,126.5185
124.598625,115.986375,107.4429,126.604
124.697675,116.0313,107.473375,126.6384
124.731225,116.118125,107.507425,126.682275
124.752525,116.155375,107.5231,126.749925
124.813,116.21785,107.550375,126.771675
124.98155,116.389975,107.575725,126.81035
125.01655,116.480975,107.5949,127.07785
125.03845,116.67285,107.618075,127.140225
125.077025,116.797675,107.6365,127.192075
125.147475,116.86195,107.6571,127.20745
125.1947,116.917875,107.67675,127.24225
125.2205,117.080425,107.702425,127.417575
125.245975,117.447125,107.73625,127.4365
125.2905,117.497225,107.80315,127.4674
125.3192,118.153,107.856225,127.7842
125.3753,118.2785,107.9041,127.837925
125.6789,118.3749,107.94405,127.862975
125.708125,118.479975,107.99515,127.9343
125.778675,118.60565,108.030825,127.957325
125.923675,118.66715,108.080625,127.982275
126.081575,118.7193,108.1122,128.0414
126.109875,118.722675,108.1414,128.12345
126.46315,118.78175,108.18115,128.275125
126.510325,118.80215,108.212275,128.338775
126.511775,118.872675,108.2724,128.390075
126.69155,119.00215,108.34625,128.44095
126.775625,119.08335,108.399525,128.4861
126.853775,119.174725,108.456575,128.63565
126.87975,119.230375,108.50325,129.080275
126.957575,119.329225,108.570075,129.132925
127.0098,119.432375,108.60965,129.13935
127.207,119.5229,108.653175,129.161925
127.338575,119.721825,108.68685,129.21325
127.36225,119.822875,108.744725,129.28665
127.472575,119.89865,108.8414,129.3453
127.579975,120.02375,108.89315,129.36885
127.610075,120.048225,108.952475,129.404175
127.64685,120.1056,108.9986,129.47595
127.698225,120.204125,109.042275,129.68995
127.74955,120.25235,109.094775,129.734025
127.81955,120.326175,109.161875,129.7722
127.85245,120.4952,109.219025,129.785325
127.8847,120.7246,109.258525,130.022
127.913775,120.9047,109.3003,130.172625
127.9944,121.106225,109.329575,130.2518
