SPK_SPKC05a,SPK_SPKC05c,SPK_SPKC10b,SPK_SPKC10c,SPK_SPKC15a
3719.152575,3721.332725,3716.873975,3763.25115,3781.093025
3719.28655,3721.407125,3716.893525,3763.5738,3781.949425
3719.333325,3721.45665,3716.9058,3763.9551,3782.2663
3719.3411,3721.6571,3716.9291,3765.03325,3782.347875
3719.3861,3721.697225,3716.955175,3765.202925,3783.25975
3719.407175,3721.80465,3716.98575,3765.32565,3783.33815
3719.46505,3722.2839,3717.013075,3765.44465,3784.32105
3719.4897,3722.38725,3717.035225,3765.75175,3784.43985
3719.5073,3722.504825,3717.068275,3766.078675,3784.495375
3719.529075,3722.505825,3717.081275,3766.5406,3784.541075
3719.601275,3722.68545,3717.098275,3766.9979,3784.595875
3719.6509,3722.7533,3717.113625,3767.047575,3784.782275
3719.658125,3722.9197,3717.131375,3767.19555,3786.0485
3719.734825,3723.05405,3717.153775,3768.067225,3786.11125
3719.796825,3723.13955,3717.1637,3768.08195,3786.17355
3719.8155,3723.3539,3717.180325,3768.128225,3786.2997
3719.852875,3723.50125,3717.206175,3768.374625,3786.34225
3719.86875,3723.72535,3717.220275,3768.405475,3787.8513
3719.9779,3723.859975,3717.250575,3768.4337,3788.0132
3720.059975,3723.935275,3717.279775,3768.531625,3788.03295
3720.08385,3724.087125,3717.29145,3768.992125,3789.4391
3720.140375,3724.19125,3717.306775,3769.0155,3789.7024
3720.20495,3724.264025,3717.37925,3769.354025,3789.764925
3720.267975,3724.418625,3717.407875,3769.921575,3789.913125
3720.31565,3724.546125,3717.44135,3770.5531,3791.020225
3720.385025,3724.84345,3717.515675,3770.927,3791.110475
3720.457525,3724.999775,3717.536375,3771.38585,3791.145
3720.499025,3725.15705,3717.5936,3771.43245,3791.21855
3720.5936,3725.406225,3717.6141,3771.44885,3791.6662
3720.5986,3727.222525,3717.643325,3773.2398,3791.9396
3720.830175,3731.90785,3717.6614,3773.357075,3792.34095
3720.8824,3732.030875,3717.67445,3774.071775,3793.411975
3720.9614,3732.092225,3717.7171,3774.147675,3793.772425
3721.195325,3732.462875,3717.73375,3775.859075,3793.928875
