SPK_SPKC02a (inhibited),SPK_SPKC07a (inhibited),SPK_SPKC12a (no effect)
64.241075,5.152925,746.734425
64.344875,5.16815,746.742275
64.8836,5.188225,746.79215
65.024975,5.221675,746.8535
65.242125,5.2695,746.89
65.347175,5.320475,746.95285
66.24135,5.34825,747.070875
66.55725,5.3735,747.084275
66.95105,5.443925,747.1633
66.99635,5.45475,747.283525
67.480225,5.468125,747.3116
67.51385,5.488175,747.426525
67.67605,5.510125,747.460225
67.70655,5.54825,747.484125
67.836925,5.564,747.633625
67.948225,5.614025,747.8199
67.974875,5.629625,748.0675
68.0421,5.654675,748.109225
68.2598,5.732625,748.390425
68.3662,5.804625,748.43465
68.41755,5.82775,748.544325
68.987275,5.8398,748.5955
69.207325,5.8544,748.64215
69.5043,5.865475,748.71255
69.91585,5.8891,748.829825
69.954925,5.914675,749.032475
70.329925,5.93865,749.0499
70.83325,5.965925,749.09635
70.8523,5.97955,749.355125
71.0025,6.004125,749.620275
71.095975,6.015925,750.090975
71.286125,6.037325,770.1313
71.312,6.061025,770.50025
71.4781,6.07935,770.588425
71.5332,6.1049,770.7876
71.573175,6.120375,770.934625
71.777675,6.1351,770.9559
71.90865,6.1808,770.9632
72.133025,6.2077,770.97735
73.04615,6.222875,771.1085
73.142575,6.2511,771.1555
73.6922,6.2673,771.26205
73.7348,6.29365,771.30395
73.787275,6.313875,771.315325
73.9098,6.3399,771.325425
73.931075,6.366225,771.486525
74.6446,6.385475,771.517975
81.910425,6.43595,771.636125
84.365725,6.447475,771.688325
86.952875,6.4606,771.7808
87.122875,6.478775,772.1041
88.38085,6.50255,777.432625
88.959825,6.5227,777.48635
89.01615,6.536225,777.7447
91.2905,6.560075,779.8157
91.720575,6.613925,780.003175
95.76045,6.6257,780.159725
96.6727,6.64575,780.4789
97.79495,6.660275,780.7541
99.3441,6.68455,781.78975
99.5634,6.70235,781.8421
100.4552,6.724575,785.25745
101.83225,6.772275,785.877075
102.877825,6.837325,794.654125
102.904875,6.85475,794.907375
103.1945,6.8804,795.85465
103.410225,6.8919,801.264725
104.09175,6.9131,801.634125
104.681375,6.946075,801.77585
105.96885,6.965925,801.8688
106.64675,6.979525,802.01805
106.75235,7.013075,804.2418
106.938875,7.03675,810.979225
106.94445,7.055925,811.1917
107.715575,7.087925,812.00605
107.8796,7.1058,813.085075
108.211425,7.136475,813.618475
108.62045,7.161325,814.8173
109.522775,7.19525,816.193125
109.5499,7.224875,816.269275
109.634625,7.2448,816.3474
109.839125,7.2614,816.465325
110.2326,7.279075,816.55485
110.309225,7.3017,816.6933
110.410425,7.317225,818.170625
110.4817,7.340025,818.4085
110.70925,7.3604,818.78245
110.74165,7.381,819.177075
110.7994,7.3977,821.60795
111.081125,7.425725,822.2466
111.100625,7.437175,822.594325
111.246175,7.452375,822.682275
111.668575,7.5561,822.750175
111.912425,7.597175,822.973175
112.512975,7.64935,823.0952
112.847275,7.660075,823.3171
112.854375,7.676025,823.410475
112.9042,7.695425,823.527325
113.5389,7.719075,823.56665
113.6164,7.7389,823.641275
113.717475,7.7633,823.93735
113.74655,7.778525,823.9643
113.79215,7.820925,824.050825
114.25235,7.8311,824.0828
114.314675,7.86415,824.2462
114.6722,7.872725,824.336725
115.004075,7.9102,824.4046
115.382125,7.9273,824.59035
115.733375,7.94405,824.823975
115.947525,7.95515,824.896
115.9648,7.970025,825.141475
116.007,7.99305,826.8471
116.082925,8.012425,827.327875
116.697025,8.036025,827.527825
117.1784,8.068525,827.769575
117.22475,8.086925,828.4543
117.243375,8.113075,832.355475
117.259375,8.1511,832.8254
117.291925,8.180725,846.1759
117.318,8.194425,846.271875
117.348225,8.232725,847.45955
117.9334,8.2809,848.18995
118.003975,8.295275,848.247725
118.060925,8.313275,848.834525
118.217,8.325375,852.5899
118.2544,8.3449,852.978875
118.329875,8.3583,854.3306
118.457925,8.3787,854.80135
118.8177,8.39815,860.197475
119.0281,8.411175,863.311625
119.145225,8.425925,863.738625
119.452075,8.443375,865.851575
119.496925,8.473375,865.899175
119.967975,8.483275,866.0535
120.85085,8.493525,866.1236
120.8923,8.5068,866.2113
120.936775,8.520875,866.31985
120.968725,8.554275,866.66945
121.06995,8.5642,866.692525
121.58115,8.579975,866.732425
124.146525,8.598075,866.8089
124.85645,8.6122,866.8473
126.21695,8.637475,866.898225
126.39805,8.650775,866.933425
126.529425,8.663025,866.9495
126.570475,8.679225,867.0681
127.139725,8.7174,867.11685
127.189525,8.7364,867.136325
127.7831,8.747175,867.204425
127.85325,8.765725,867.229175
128.013275,8.778025,867.280125
128.09135,8.796875,867.40515
128.12215,8.82925,867.5027
128.40875,8.8632,867.51335
128.48265,8.87305,867.542925
128.99375,8.8858,867.728225
129.292925,8.90865,867.74205
130.488275,8.917925,867.75475
130.916825,8.940575,867.7658
131.75555,8.954575,867.773125
132.43255,8.984125,867.77845
132.7482,9.00765,867.787375
133.041525,9.025075,867.806375
133.28365,9.04185,867.8135
133.306,9.05725,867.83595
133.42245,9.07515,867.860625
133.4397,9.0893,867.922225
134.1883,9.10155,867.994375
134.24725,9.12385,868.0237
134.2823,9.134425,868.0744
134.817775,9.158275,868.1382
134.9553,9.171925,868.198475
135.3755,9.188875,868.219825
135.387075,9.21405,868.234425
135.720075,9.230575,868.26005
135.846925,9.249375,868.302575
136.019425,9.282075,868.318675
136.65455,9.29235,868.3716
137.17445,9.3017,868.4537
138.24675,9.3284,868.4704
138.740225,9.33925,868.6427
139.1442,9.355675,868.69705
139.646025,9.36955,868.7273
140.2898,9.396825,868.7402
140.295775,9.4268,868.758925
140.764075,9.4401,868.764475
141.305425,9.47285,868.82775
142.46265,9.487025,868.978775
143.084225,9.507825,869.0038
143.196625,9.523275,869.059875
143.614225,9.54165,869.08175
143.861525,9.56,869.123675
144.3786,9.575975,869.23755
144.596275,9.59155,869.293875
144.6084,9.60485,869.379125
144.741725,9.62575,869.520675
144.86395,9.63765,869.539875
144.941425,9.65815,869.63115
145.0198,9.673125,869.8
145.1967,9.7056,869.90605
145.2933,9.733375,869.93145
145.744325,9.75345,870.07235
146.867775,9.76865,870.569125
147.627375,9.78035,870.711575
148.211075,9.800525,870.91455
148.23945,9.8107,871.0332
148.43205,9.825075,875.321475
148.8715,9.840375,875.51405
149.353,9.857175,875.687025
149.422275,9.8668,875.862775
150.124625,9.883825,876.012475
150.6359,9.8962,876.1421
151.984225,9.905525,876.2619
152.484025,9.920075,876.555875
152.7817,9.933075,876.6637
153.238925,9.94795,876.711075
153.409325,9.96515,876.78115
153.537025,9.993225,876.808
153.674225,10.003175,877.50245
153.866225,10.016525,877.9978
153.924925,10.027775,878.126525
154.0867,10.058575,878.329275
154.672325,10.07095,878.436325
154.872575,10.0878,878.506375
155.00575,10.10885,878.77505
155.1958,10.123375,878.9485
155.363225,10.1386,879.63235
155.451,10.1518,880.260925
155.534575,10.16455,881.98335
155.94805,10.181075,882.186725
156.0995,10.204925,882.303675
156.309475,10.2168,883.717525
156.40225,10.232725,883.853525
156.518325,10.24815,884.5516
156.60695,10.261475,887.870575
157.01095,10.271775,888.510925
157.52325,10.282625,888.717675
157.8211,10.295425,889.20835
158.0151,10.31445,889.253875
158.900125,10.3347,889.2774
159.005625,10.3482,889.303175
159.035125,10.365025,889.314875
159.05955,10.379325,889.342475
159.2374,10.391175,889.5228
159.285975,10.412825,889.729425
159.409225,10.4311,889.95485
159.4732,10.443775,891.331375
159.572275,10.46005,891.636175
159.78345,10.47525,892.010575
159.986775,10.4916,892.25065
160.0995,10.515575,892.437225
160.144075,10.538325,893.3893
160.18485,10.550025,894.222325
160.248,10.5617,896.8994
160.302125,10.574675,897.095725
160.400825,10.59405,897.509125
160.477825,10.61415,897.648625
160.49205,10.63635,897.7344
160.562125,10.643325,897.874575
160.5973,10.65175,897.97015
160.8145,10.6646,898.168175
160.9304,10.6855,898.4816
160.983925,10.714175,898.781625
161.02875,10.730225,899.419725
161.15735,10.74045,899.474725
161.2042,10.751825,899.499875
161.253975,10.766875,899.734275
161.33455,10.79495,899.834675
161.560875,10.8043,900.00165
161.67325,10.819025,900.167375
161.6981,10.84505,900.275025
161.822975,10.85395,900.30445
161.914575,10.868325,901.16835
162.0221,10.8873,901.327
