SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC03b,SPK_SPKC07b,SPK_SPKC07c,SPK_SPKC12a,SPK_SPKC14c
105.163825,104.409575,102.193475,109.5222,110.45245,104.728775,102.180925
105.206525,104.429025,102.217125,109.627625,110.577625,104.733625,102.19905
105.265,104.453525,102.24485,109.66095,110.7372,104.752875,102.2155
105.358475,104.477375,102.259575,109.695175,110.738975,104.76375,102.235725
105.420475,104.510525,102.28435,109.74865,110.936775,104.774875,102.26375
105.45955,104.543625,102.296825,109.8082,111.10305,104.823125,102.28185
105.5475,104.563,102.363175,109.83615,111.2011,104.91295,102.309575
105.58315,104.590275,102.432725,109.9315,111.2298,105.03195,102.3666
105.653075,104.615925,102.532975,110.02365,111.2484,105.05045,102.39295
105.6888,104.6591,102.5413,110.24715,111.662025,105.0836,102.423875
105.714025,104.689975,102.5629,110.294125,111.961425,105.085,102.44455
105.743325,104.844175,102.583025,110.3395,112.00155,105.13615,102.45935
105.784525,104.901075,102.59215,110.3717,112.135425,105.144225,102.47315
105.957625,104.935375,102.613125,110.413025,112.1747,105.154775,102.4908
105.958925,104.95635,102.621225,110.432175,112.248825,105.175225,102.50795
106.0148,104.972675,102.6411,110.5079,112.5408,105.24935,102.518325
106.049025,104.9913,102.6461,110.645475,112.604225,105.4034,102.52725
106.1948,105.05315,102.674775,110.6653,112.670625,105.650375,102.5359
106.23315,105.1391,102.697075,110.71955,112.70075,105.73525,102.552425
106.32225,105.27775,102.7732,110.7207,112.752475,105.839525,102.560525
106.3885,105.30785,102.794075,110.784125,112.763775,105.846675,102.579325
106.41825,105.33095,102.827475,110.804075,112.79935,106.005375,102.59125
106.441175,105.36605,102.949025,110.856125,112.8034,106.0245,102.598275
106.4768,105.391625,103.086925,110.92665,113.2503,106.164725,102.609475
106.545275,105.414725,103.08935,110.94905,113.281775,106.171375,102.667475
106.579225,105.436225,103.095025,111.5664,113.3741,106.207175,102.67595
106.836625,105.48625,103.103675,111.70765,113.4637,106.255875,102.685425
106.88305,105.58885,103.1194,111.766475,113.55845,106.32145,102.7094
106.92185,105.60985,103.1432,111.791575,113.644925,106.40095,102.742425
106.945375,105.67105,103.1729,111.836925,113.6704,106.6121,102.76385
106.986575,105.791225,103.2087,111.867975,113.6914,106.61755,102.78785
107.1417,105.84185,103.2457,111.902125,113.82495,106.638675,102.80935
107.2162,105.889025,103.26315,111.9234,114.0959,107.0578,102.846825
107.242275,105.912175,103.29585,111.94925,114.21395,107.1933,102.8659
107.289575,106.01375,103.408775,111.993975,115.036375,107.50995,102.89115
107.3166,106.2661,103.4178,112.08435,115.15595,107.557,102.89985
107.340925,106.288775,103.530025,112.34715,115.224425,107.603175,102.95475
107.363775,106.315425,103.54615,112.365975,115.2573,107.618625,102.979525
107.412575,106.3379,103.56175,112.42065,115.651,107.652775,102.995175
107.455525,106.359175,103.60425,112.51425,115.685775,107.70185,103.034775
107.461575,106.38475,103.612225,112.971775,115.8076,107.741575,103.05485
107.6186,106.4317,103.6194,113.02115,115.88885,107.834875,103.092175
107.707975,106.47135,103.641875,113.052675,115.92215,107.862575,103.097275
107.743275,106.53415,103.682325,113.07025,115.993525,107.902125,103.1087
107.91175,106.612725,103.7017,113.117475,116.35335,107.9115,103.1299
107.94155,106.66445,103.73675,113.14995,116.8376,107.94245,103.20385
108.06895,106.695775,103.908875,113.2949,116.98255,107.992175,103.231925
108.11895,106.72305,103.926425,113.351225,117.04135,107.995325,103.255175
108.18355,106.74835,103.935275,113.42185,117.084825,108.072725,103.275025
108.22465,106.775025,103.9525,113.43265,117.5757,108.1771,103.312775
108.3309,106.815275,103.958375,113.5965,117.717375,108.19485,103.3321
108.404375,106.86825,103.98,113.64285,117.773775,108.234325,103.357975
108.449875,106.961375,103.9845,113.6994,117.789425,108.2559,103.372925
108.48605,107.0495,103.99615,113.84235,118.1195,108.280125,103.3997
108.52095,107.089225,104.00095,113.9979,118.12615,108.3417,103.44665
108.569925,107.110625,104.0295,114.0462,118.2619,108.511225,103.4545
108.60975,107.139925,104.037825,114.146275,118.375525,108.5776,103.461175
108.646025,107.1705,104.045175,114.164575,118.377725,108.580925,103.467725
108.6666,107.195775,104.050475,114.19065,118.59625,108.589325,103.474775
108.70505,107.25865,104.06045,114.20435,118.769525,108.7182,103.4826
108.7452,107.353575,104.09015,114.21915,118.9411,108.7668,103.488025
108.791775,107.494775,104.115625,114.244025,119.01275,108.834075,103.49945
108.8629,107.517925,104.12205,114.256925,119.204075,108.8807,103.5081
109.004825,107.553175,104.1655,114.276025,119.34045,108.911525,103.520975
109.266,107.584475,104.2415,114.302675,119.5761,108.958475,103.528225
109.337075,107.7927,104.321325,114.329425,120.00115,109.05375,103.555025
109.37325,107.893575,104.328925,114.34425,120.116375,109.081475,103.56985
109.422425,107.9426,104.355025,114.43125,120.120075,109.12075,103.5848
109.5319,107.96505,104.388875,115.138975,120.1744,109.337275,103.604
109.623175,107.98925,104.4049,115.161375,120.212125,109.404275,103.61745
