SPK_SPKC04a (artefact),SPK_SPKC13a (artefact)
51.4631,29.485725
51.534225,29.551675
51.660875,29.603325
51.763075,29.623375
51.880925,29.66165
52.004875,29.7262
52.1645,29.851425
52.20345,29.9402
52.307325,29.96475
52.36715,30.023675
52.394775,30.08495
52.559375,30.130025
52.68175,30.340725
52.803775,30.41425
52.86945,30.4792
52.94435,30.5268
52.99085,30.6987
53.019425,30.7506
53.09415,31.0485
53.369625,31.133375
53.740025,31.1831
53.7945,31.2366
53.8346,31.2934
53.940775,31.353925
54.120125,31.509575
54.148675,31.6193
54.207675,31.7083
54.5232,31.79045
54.62605,31.837175
54.695475,31.90395
54.953825,31.976275
54.999025,32.0452
55.0473,32.1542
55.142025,32.196725
55.16795,32.31435
55.216875,32.38425
55.244425,32.4752
55.3274,32.5241
55.4993,32.7167
55.536925,32.80935
55.614525,32.87335
55.7598,33.0437
55.797075,33.11935
55.880925,33.18925
55.984825,33.27475
56.1376,33.329925
56.5368,33.460325
56.579575,33.6499
56.639475,33.7427
56.764075,33.795475
56.80745,33.819975
56.84005,33.857075
56.920125,33.979175
56.980525,34.1052
57.289275,34.1607
57.357375,34.24345
57.44755,34.307975
57.47235,34.33575
57.574575,34.373
57.66945,34.413975
57.8893,34.46005
58.131075,34.5141
58.189275,34.5576
58.267275,34.77995
58.306375,34.968425
58.38795,35.015425
58.42275,35.1766
58.51895,35.316675
58.536725,35.3685
58.779025,35.44585
58.99845,35.5044
59.0417,35.567475
59.14605,35.9266
59.3496,36.211275
59.562825,36.32635
59.757375,36.3786
59.81065,36.543725
59.97655,36.685025
60.045625,37.33775
60.113675,37.48235
60.79375,37.676525
60.876175,37.79525
60.9565,37.94915
61.1139,38.021875
61.182125,38.0743
61.519475,38.126275
61.699375,38.20165
61.817925,38.218875
62.1014,38.408125
62.22655,38.49925
62.446225,38.578425
62.5084,38.627775
62.56145,38.779525
62.73135,38.991875
62.82195,39.161875
62.975425,39.300375
63.089775,39.381175
63.14965,39.4607
63.274775,39.52845
63.329925,39.5869
63.435675,39.6332
63.60215,39.711225
63.672475,39.8156
63.73575,40.078725
63.77175,40.13225
63.794325,40.21395
63.875325,40.2416
63.9649,40.289475
64.0222,40.3221
64.119,40.36035
64.230825,40.4196
64.3073,40.528425
64.4577,40.7052
64.489225,40.797375
64.522675,40.907725
64.62235,40.94785
64.80315,40.975375
64.856225,41.016275
65.158775,41.0451
65.223825,41.10925
65.307775,41.149025
65.373425,41.193575
65.435775,41.246625
65.687425,41.307
65.767325,41.408275
65.84395,41.562475
65.89075,41.758775
65.9626,41.857125
66.0109,41.9343
66.489975,41.970525
66.71625,42.00855
66.771525,42.0458
66.925675,42.2112
66.9904,42.483325
67.024625,42.639375
67.08235,42.72115
67.2797,42.80565
67.5304,42.838775
67.5474,42.895825
67.57105,42.9458
67.83385,43.0185
67.91525,43.135825
67.9537,43.3285
68.028425,43.424075
68.125275,43.495625
68.16885,43.54655
68.246925,43.60625
68.37265,43.668675
68.378125,43.8181
68.5593,44.2921
68.67785,44.381625
68.7691,44.4341
68.962575,44.505875
69.013225,44.555625
69.0326,44.669925
69.055925,44.707775
69.097325,44.74595
69.145275,45.135575
69.3095,45.226325
69.387875,45.3335
69.41315,45.364075
69.4587,45.42725
69.479225,45.483125
69.6057,45.53005
69.786875,45.94585
69.8327,46.0461
69.8957,46.079425
69.927125,46.105825
69.985475,46.13085
70.015075,46.317275
70.0879,46.4854
70.161325,46.54675
70.212325,46.565325
70.239525,46.635525
70.31265,46.704725
70.358,46.765925
70.43945,46.8851
70.47625,46.987175
70.520025,47.009575
70.554675,47.07075
70.603675,47.124325
70.6509,47.1822
70.6815,47.24555
70.723975,47.45965
70.753675,47.765425
70.848725,47.90235
70.887125,48.123
71.069275,48.184225
71.157775,48.276025
71.20125,48.3442
71.24115,48.40295
71.368475,48.429425
71.3936,48.49305
71.53445,48.5351
71.6043,48.585975
71.647725,48.6941
71.68005,48.749925
71.73795,48.828225
71.829325,48.9236
71.90455,48.972475
71.939275,48.9993
72.009475,49.051
72.025125,49.124975
72.05245,49.248425
72.0703,49.328725
72.09455,49.58325
72.161275,49.684475
72.252925,49.759075
72.321025,49.904425
72.3725,50.03535
72.429675,50.10655
72.4588,50.15575
72.487275,50.2318
72.539075,50.353175
72.578225,50.6292
72.61425,50.80875
72.658275,50.85145
72.679075,50.933125
72.71965,51.0129
72.75165,51.054775
72.779175,51.112
72.815825,51.422475
72.8618,51.463125
72.950725,51.534275
72.985525,51.6609
73.0219,51.7631
73.07005,51.88095
73.109025,52.0049
73.16,52.164525
73.202875,52.203475
73.245925,52.230575
73.324725,52.307375
73.37175,52.3672
73.412525,52.394825
73.434525,52.559425
73.5081,52.6818
73.5715,52.8038
73.692,52.8695
73.7634,52.9444
73.7971,52.990875
73.8319,53.01945
73.870075,53.0942
73.913675,53.36965
73.94995,53.74005
73.997225,53.794525
74.05145,53.83465
74.11975,53.9408
74.1631,54.12015
74.209175,54.148725
74.327325,54.2077
74.414425,54.52325
74.467675,54.6261
74.511025,54.6955
74.525125,54.953875
74.571775,54.99905
74.5878,55.047325
74.598025,55.142075
74.683975,55.168
74.742725,55.2169
74.7813,55.244475
74.84405,55.32745
74.859175,55.499325
75.10025,55.53695
75.1328,55.61455
75.184625,55.75985
75.2333,55.797125
75.297175,55.88095
75.39175,55.98485
75.467975,56.13765
75.5201,56.536825
75.670475,56.579625
75.7402,56.6395
75.8138,56.7641
75.843225,56.807475
75.86495,56.8401
75.896325,56.92015
76.01575,56.980575
76.106475,57.2893
76.155725,57.3574
76.21755,57.447575
76.247925,57.472375
76.302675,57.5746
76.44615,57.6695
76.5122,57.88935
76.59205,58.131125
76.625775,58.1893
76.64995,58.2673
76.691325,58.3064
76.792025,58.387975
76.8527,58.422775
76.981175,58.51895
77.016275,58.53675
77.0624,58.77905
77.08245,58.9985
77.122475,59.041725
77.1609,59.1461
77.20475,59.349625
77.24925,59.56285
77.281625,59.7574
77.32645,59.8107
77.370825,59.9766
77.412075,60.045675
77.442375,60.1137
77.5047,60.793775
77.603975,60.876225
77.6769,60.956525
77.75525,61.11395
77.794225,61.182175
77.845475,61.5195
77.931075,61.699425
77.963125,61.81795
78.032625,62.101425
78.091575,62.226575
78.137375,62.44625
78.221275,62.50845
78.265525,62.561475
78.34615,62.731375
78.51385,62.822
78.5756,62.97545
78.674225,63.0898
78.7719,63.1497
78.866375,63.274825
78.911475,63.329975
78.973525,63.4357
79.048375,63.6022
79.0911,63.672525
79.14465,63.7358
79.1742,63.7718
79.235525,63.79435
79.443925,63.87535
79.75745,63.96495
79.89665,64.02225
79.984075,64.119025
80.009,64.230875
80.036425,64.307325
80.072275,64.45775
80.0948,64.48925
80.1342,64.5227
80.32775,64.6224
80.374375,64.803175
80.427275,64.856275
80.459375,64.9156
80.509575,65.158825
80.585,65.223875
80.607275,65.307825
80.96105,65.373475
81.08255,65.4358
81.127825,65.687475
81.158175,65.767375
81.258,65.844
81.380825,65.8908
81.512225,65.962625
81.626475,66.010925
81.75285,66.49
81.8797,66.716275
81.9487,66.771575
82.00345,66.925675
82.0642,66.99045
82.1275,67.024675
82.199075,67.0824
82.23215,67.27975
82.282775,67.530425
82.439825,67.54745
82.489525,67.5711
82.581375,67.8339
82.71955,67.9153
82.7895,67.95375
82.926625,68.02845
82.974675,68.125325
83.028,68.168875
83.0827,68.246975
83.121975,68.3727
83.210725,68.37815
83.275875,68.55935
83.3004,68.677875
83.444925,68.76915
83.51425,68.962625
83.62375,69.013275
83.69875,69.03265
83.7888,69.055975
83.824625,69.097375
83.8666,69.145325
83.902425,69.30955
83.947,69.387925
84.059275,69.4132
84.09855,69.45875
84.225825,69.479275
84.284475,69.60575
84.518425,69.786925
84.793825,69.832775
84.8848,69.89575
85.137775,69.927175
85.218225,69.985525
85.2772,70.015125
85.320775,70.08795
85.395175,70.161375
85.44535,70.212375
85.471825,70.23955
85.490525,70.3127
85.526725,70.35805
85.6137,70.4395
85.79005,70.476275
85.863075,70.520075
85.8993,70.554725
85.9446,70.603725
85.98825,70.65095
86.033925,70.681525
86.5225,70.724
86.60485,70.753725
86.678225,70.848775
86.760825,70.887175
86.850375,71.069325
86.894075,71.157825
86.95885,71.2013
87.0683,71.241175
87.219225,71.368525
87.32795,71.39365
87.36485,71.534475
87.462625,71.60435
87.49035,71.64775
87.53845,71.6801
87.645475,71.738
87.749775,71.829375
87.838775,71.904625
87.86975,71.939325
87.9257,72.0095
88.005825,72.025175
88.071075,72.0525
88.148525,72.07035
88.2042,72.0946
88.549925,72.1613
88.609475,72.252975
88.680975,72.321075
88.87335,72.37255
88.968225,72.429725
89.01195,72.45885
89.1205,72.487325
89.352375,72.539125
89.4574,72.57825
89.5596,72.614275
89.770975,72.658325
89.8682,72.6791
89.908,72.719675
89.95625,72.7517
90.070825,72.779225
90.14635,72.815875
90.20245,72.86185
90.25275,72.950775
90.313875,72.985575
90.373225,73.02195
90.534175,73.0701
90.6276,73.109075
90.669425,73.160075
90.69755,73.2029
90.819525,73.24595
90.876475,73.3248
91.02285,73.3718
91.153225,73.41255
91.260225,73.434575
91.306275,73.508125
91.41585,73.57155
91.46925,73.69205
91.49235,73.763425
91.55225,73.797125
91.6338,73.831975
92.24955,73.8701
92.32015,73.9137
92.388275,73.949975
92.499375,73.997275
92.611075,74.0515
92.671,74.1198
92.7366,74.16315
92.801475,74.209225
92.92475,74.2434
93.01525,74.32735
93.2898,74.414475
93.395925,74.467725
93.48255,74.51105
93.533625,74.525175
93.5824,74.571825
93.93085,74.58785
94.410025,74.598075
94.51625,74.68405
94.5598,74.74275
94.587275,74.78135
94.613375,74.8441
94.6305,74.859225
94.65455,75.100325
94.87845,75.132825
94.924175,75.184675
95.062875,75.233375
95.11065,75.297225
95.20895,75.391775
95.4658,75.468
95.5173,75.520125
95.561925,75.670525
95.70555,75.74025
95.765,75.81385
95.81825,75.843275
96.0772,75.865
96.19395,75.896375
96.340275,76.015825
96.383225,76.106525
96.528075,76.15575
96.6889,76.217625
96.785825,76.247975
96.849725,76.302725
96.875375,76.4462
96.9151,76.51225
96.987475,76.592075
97.0329,76.625825
97.088,76.65
97.182575,76.691375
97.260525,76.792075
97.323225,76.85275
97.35205,76.9812
97.397575,77.016325
97.468125,77.062475
97.53815,77.0825
97.60405,77.122525
97.662425,77.16095
97.694425,77.204775
97.7255,77.2493
97.767125,77.281675
97.808675,77.3265
97.844,77.37085
97.897175,77.412125
97.9175,77.442425
97.9572,77.50475
98.006125,77.604
98.032675,77.676925
98.053425,77.7553
98.109825,77.79425
98.275675,77.845525
98.35,77.931125
98.51785,77.963175
98.584825,78.032675
98.64355,78.0916
98.6959,78.1374
98.754925,78.22135
98.769925,78.2656
99.191975,78.3462
99.257325,78.430775
99.289775,78.5139
99.35855,78.575625
99.401625,78.674275
99.4624,78.77195
99.54385,78.86645
99.647375,78.911525
99.74205,78.973575
99.820375,79.0484
99.856775,79.091175
99.9124,79.1447
99.93755,79.17425
99.965375,79.235575
99.991025,79.443975
100.0357,79.7575
100.1283,79.8967
100.1907,79.984125
100.342525,80.00905
100.450275,80.036475
100.520875,80.072325
100.6264,80.09485
100.672525,80.134225
100.720525,80.3278
100.78965,80.3744
100.865875,80.427325
101.0384,80.459425
101.113325,80.5096
101.201925,80.58505
101.435175,80.6073
101.58615,80.961075
101.651075,81.0826
101.739675,81.12785
101.8521,81.158225
101.9349,81.258025
102.03215,81.38085
102.1048,81.51225
102.120975,81.626525
102.180525,81.752875
102.200675,81.87975
102.30195,81.948775
102.411175,82.0035
102.4461,82.06425
102.509675,82.127525
102.58055,82.1991
102.6858,82.232175
102.730775,82.2828
102.806975,82.43985
102.85385,82.48955
102.94885,82.5814
103.127875,82.7196
103.2616,82.78955
103.464425,82.926675
103.7179,82.9747
103.843475,83.02805
103.913775,83.082725
103.9823,83.122025
104.0104,83.210775
104.082025,83.2759
104.18055,83.30045
104.29515,83.444975
104.368075,83.5143
104.440225,83.623825
104.622575,83.698825
104.7022,83.78885
104.748725,83.824675
104.797275,83.86665
104.985325,83.902475
105.1066,83.94705
105.2232,84.059325
105.305125,84.0986
105.4082,84.225875
105.502375,84.2845
105.73155,84.51845
105.8033,84.79385
105.88775,84.88485
105.93515,85.137825
106.057725,85.218275
106.123425,85.277225
106.2744,85.320825
106.396075,85.395225
106.47335,85.4454
106.49825,85.47185
106.581825,85.49055
106.6196,85.526775
106.7021,85.61375
106.814075,85.7901
106.8513,85.8631
106.908,85.89935
106.980225,85.94465
107.027675,85.9883
107.053925,86.033975
107.080125,86.52255
107.10255,86.6049
107.14485,86.678275
107.17745,86.760875
107.2074,86.850425
107.248,86.894125
107.30415,86.958875
107.368175,87.068375
107.4407,87.219275
107.46585,87.328
107.49495,87.3649
107.586725,87.462675
107.637025,87.4904
107.766775,87.538475
107.8128,87.645525
107.90995,87.749825
107.9905,87.838825
108.023075,87.8698
108.05585,87.925725
108.076825,88.00585
108.10205,88.071125
108.1395,88.148575
108.2014,88.20425
108.252,88.549975
108.280075,88.609525
108.350225,88.681025
108.368875,88.8734
108.386825,88.968275
108.4097,89.011975
108.433625,89.12055
108.6454,89.352425
108.732625,89.45745
108.768875,89.55965
108.846675,89.771025
108.945025,89.86825
108.99485,89.90805
109.05095,89.9563
109.089675,90.070875
109.139575,90.146375
109.181225,90.2025
109.218125,90.252775
109.238975,90.3139
109.26835,90.373275
109.294725,90.534225
109.32005,90.62765
109.369825,90.669475
109.438625,90.697575
109.495325,90.819575
109.55705,90.876525
109.646075,91.022925
109.758625,91.153275
109.806625,91.260275
109.8649,91.3063
109.94615,91.415875
110.04125,91.4693
110.145875,91.4924
110.18625,91.5523
110.234625,91.633825
110.29715,92.249575
110.369775,92.320175
110.516525,92.388325
110.590125,92.499425
110.62275,92.611125
110.6688,92.67105
110.8255,92.73665
111.087325,92.8015
111.1573,92.9248
111.18765,93.0153
111.32265,93.28985
111.376875,93.39595
111.4934,93.482575
111.562925,93.533675
111.707775,93.58245
111.802475,93.9309
111.8793,94.410075
111.94025,94.5163
112.045875,94.55985
112.15575,94.587325
112.191125,94.6134
112.23495,94.63055
112.279225,94.6546
112.310925,94.8785
112.34725,94.924225
112.417825,95.062925
112.475075,95.1107
112.601075,95.209025
112.6748,95.465825
112.760475,95.51735
112.849325,95.561975
112.893575,95.7056
113.010675,95.76505
113.052525,95.818275
113.105275,96.077225
113.200325,96.193975
113.25385,96.340325
113.407375,96.383275
113.48505,96.528125
113.55855,96.688975
113.637,96.785875
113.70035,96.84975
113.768125,96.875425
113.851625,96.91515
113.9031,96.987525
113.954675,97.032975
114.002725,97.08805
114.0337,97.182625
114.06645,97.2606
114.14315,97.3233
114.240175,97.3521
114.322575,97.3976
114.405125,97.468175
114.61245,97.5382
114.678825,97.6041
114.716325,97.66245
114.823125,97.69445
115.082825,97.72555
115.1182,97.767175
115.1779,97.808725
115.32275,97.844075
115.402825,97.897225
115.507475,97.91755
115.539025,97.95725
115.6415,98.006175
115.877125,98.0327
115.920475,98.053475
115.99615,98.109875
116.300125,98.2757
116.326125,98.350025
116.359275,98.5179
116.44925,98.584875
116.48395,98.6436
116.579475,98.695925
116.64015,98.754975
116.676875,98.769975
116.7217,99.192
116.79165,99.257375
116.8327,99.2898
116.9049,99.3586
116.93655,99.401675
116.9759,99.46245
117.01875,99.543875
117.058725,99.64745
117.1118,99.742075
117.1683,99.8204
117.391125,99.856825
117.4163,99.91245
117.892325,99.9376
117.99835,99.965425
118.125725,99.991075
118.1808,100.03575
118.225575,100.128325
118.59035,100.19075
118.6365,100.342575
118.65545,100.4503
118.7037,100.520925
118.775,100.62645
118.912175,100.672575
118.967675,100.72055
119.029875,100.7897
119.07935,100.865925
119.17075,101.03845
119.231325,101.113375
119.29115,101.201975
