SPK_SPKC02a (excited),SPK_SPKC04a (inhibited),SPK_SPKC08a (inhibited),SPK_SPKC16a (short inhibition)
104.175525,2.9729,25.219725,1.807325
104.5578,2.98785,25.298575,1.85715
104.959525,2.9968,25.374675,1.891675
105.018975,3.009925,25.602125,1.93685
105.381175,3.021175,25.739925,1.9599
106.985375,3.0317,26.053875,1.967075
107.107525,3.04685,26.12355,1.97015
107.238125,3.062625,26.209875,1.97415
108.076325,3.08755,26.267975,1.97885
108.881425,3.1024,26.30955,1.98175
108.93455,3.123375,26.8455,1.984675
109.076175,3.1421,27.098225,1.988825
111.553875,3.155225,27.2273,1.9944
111.597475,3.176775,27.315825,2.005125
112.09765,3.20105,27.33125,2.00915
112.912225,3.22675,27.33385,2.0123
113.1492,3.244975,27.442575,2.015125
113.808975,3.26895,27.528375,2.017575
113.832625,3.284325,27.707575,2.020075
114.043725,3.30905,27.70905,2.023075
114.136425,3.338775,27.773,2.026275
114.40995,3.35835,27.834575,2.032725
116.116175,3.376175,28.15765,2.039075
116.39225,3.38905,28.4481,2.047025
116.5208,3.41155,28.87235,2.049675
116.969875,3.440625,29.031225,2.0555
118.32605,3.462925,29.13185,2.058575
119.2986,3.4787,29.4565,2.06135
119.758325,3.49505,29.901075,2.064125
119.992875,3.506925,29.9406,2.066925
120.1089,3.52255,30.1662,2.07375
121.097925,3.535875,30.300675,2.0805
121.5142,3.5516,30.417175,2.084975
121.5876,3.566225,30.5734,2.1024
121.653775,3.5805,30.6344,2.11165
121.95395,3.596025,30.743175,2.118525
122.0111,3.6118,30.768625,2.13445
122.61875,3.626175,30.91455,2.152025
122.9222,3.645725,31.0403,2.179225
123.57005,3.66495,31.084075,2.200275
123.582,3.69385,31.1826,2.21325
123.937575,3.715675,31.2278,2.26635
124.7898,3.733575,31.27,2.3082
125.59205,3.76115,31.3837,2.332325
126.36935,3.777325,31.5565,2.3937
126.732475,3.801725,31.676475,2.40425
127.631225,3.82375,31.71965,2.411
128.061975,3.848575,31.857275,2.413275
129.2345,3.861225,32.268375,2.4166
129.410175,3.866025,32.442975,2.41965
130.07315,3.888025,32.784425,2.42225
130.35865,3.91545,32.85035,2.428525
131.321875,3.92825,32.91365,2.431975
131.59245,3.9451,33.080525,2.43455
132.301725,3.96365,33.164775,2.44055
133.093975,3.985825,33.2018,2.4442
133.77645,4.003175,33.756575,2.447525
134.9598,4.024725,33.88115,2.450275
136.1677,4.042575,34.007175,2.4546
136.7288,4.062975,34.178525,2.458025
136.804525,4.084375,34.290625,2.461675
137.25945,4.101275,34.444675,2.46465
137.718725,4.118375,34.528425,2.4715
138.712125,4.140725,34.579725,2.474225
139.389225,4.158625,34.732875,2.479275
141.0425,4.187025,34.837675,2.482775
142.291525,4.208075,34.87565,2.485925
142.3172,4.23055,35.076225,2.4906
143.8081,4.2708,35.2276,2.497675
143.98245,4.28955,35.289225,2.50795
144.0858,4.308825,35.352675,2.52515
144.536575,4.328925,35.377475,2.54545
144.925475,4.354025,35.48905,2.5827
145.623775,4.3834,35.63055,2.623825
145.87915,4.410725,35.770975,2.677925
146.907,4.42375,35.852625,2.701675
146.922425,4.4454,35.91665,2.73655
147.853675,4.461375,36.00985,2.759125
147.862675,4.490225,36.018075,2.80325
148.572425,4.49885,36.03415,2.837525
148.576225,4.515475,36.121325,2.891725
148.680375,4.5271,36.358475,2.92145
148.707275,4.53835,36.432625,2.93185
149.656975,4.54845,36.524675,2.936625
149.970425,4.563075,36.7023,2.941225
150.040775,4.575325,36.8825,2.950575
150.14865,4.586975,36.942475,2.953925
150.674975,4.6009,37.230375,2.960275
150.73665,4.610775,37.290325,2.96345
151.225125,4.61715,37.34725,2.9666
151.36345,4.62765,37.826125,2.969175
151.99615,4.644875,37.85725,2.971675
152.224375,4.659,38.155975,2.974875
152.243075,4.677175,38.183125,2.977775
154.012975,4.69415,38.4104,2.98025
154.3591,4.70975,38.47755,2.983975
154.366075,4.72315,38.62065,2.987425
154.425075,4.73405,39.045225,2.989875
154.7812,4.74895,39.1647,2.9972
155.150825,4.7648,39.39925,3.00025
155.443725,4.780475,39.55615,3.0037
156.25085,4.8,39.64765,3.006975
158.7229,4.8224,40.129225,3.010075
158.988675,4.841475,40.2778,3.01245
159.0239,4.8652,40.374475,3.01475
159.111025,4.892675,40.445175,3.020025
159.46875,4.919,40.482425,3.023725
161.6784,4.93795,40.55335,3.0276
162.2494,4.96455,40.619675,3.032975
162.763,4.98475,40.652775,3.03835
163.16895,5.00405,40.838475,3.043325
163.726875,5.02775,40.9085,3.063525
164.0841,5.0421,40.934375,3.078525
164.970675,5.0632,41.1727,3.103375
165.039725,5.08045,41.2935,3.11765
165.48345,5.09415,41.3289,3.1528
165.655475,5.11425,41.41665,3.182075
166.419275,5.12765,41.65685,3.223275
167.2753,5.14005,41.88415,3.248325
167.47195,5.153825,41.906775,3.301325
167.6243,5.165,42.424175,3.3196
168.395825,5.178275,42.52375,3.345875
168.485,5.19755,42.5557,3.3605
168.8914,5.215175,42.676825,3.387675
169.1151,5.2255,42.6893,3.404375
169.58265,5.2439,42.709075,3.411825
169.667025,5.258,42.789575,3.42025
169.821975,5.276325,42.892775,3.427625
170.649525,5.300025,42.976175,3.431
171.829225,5.318725,43.13595,3.4394
172.6817,5.33675,43.26105,3.444225
173.221225,5.3653,43.403975,3.451025
173.883775,5.38075,43.482825,3.458425
174.4028,5.404375,43.695875,3.462125
