SPK_SPKC06c,SPK_SPKC08a,700.008825,SPK_SPKC11a,SPK_SPKC12a,SPK_SPKC12b,SPK_SPKC15b
703.856425,752.83385,751.0255,701.859975,702.0955,707.827725,701.962575
703.978175,755.69555,751.743925,701.873725,702.13255,707.892375,701.988325
704.14705,756.195475,752.80705,701.88355,702.160225,708.03675,702.016
704.1575,758.97665,753.47065,701.901475,702.2194,708.23645,702.053725
704.2527,759.2104,753.893375,701.90715,702.250775,708.409625,702.067325
704.481675,759.258425,754.63385,701.922975,702.275175,708.4616,702.093925
704.491,760.235825,755.016925,701.92615,702.296575,708.81675,702.161875
704.505425,760.995325,756.293975,701.9338,702.335775,708.9497,702.185425
704.520275,762.1289,757.06165,701.936875,702.3668,708.967825,702.205475
704.604775,764.412575,757.35685,701.9457,702.424075,709.110675,702.23035
704.827325,765.6561,759.258625,701.9598,702.491725,709.182825,702.2539
704.8532,766.833,760.37535,701.974,702.52105,709.477875,702.28075
704.885475,767.101275,762.324675,701.987175,702.531275,709.790375,702.348875
704.949625,769.81555,762.75495,702.0061,702.537725,709.882825,702.375225
704.99095,775.15315,762.909575,702.028925,702.544875,709.914,702.41205
705.010525,775.437925,763.391175,702.066425,702.56435,710.053375,702.458575
705.02485,776.173525,763.98345,702.0955,702.5733,710.17965,702.479875
705.042575,776.866,765.063675,702.132525,702.5887,710.184825,702.49995
705.046025,777.04965,765.337925,702.160225,702.65155,710.5617,702.515425
705.05015,777.134075,765.60885,702.2194,702.689125,710.646575,702.5219
705.057725,778.21465,766.46085,702.250775,702.753925,710.760775,702.5283
705.24635,778.7711,767.15135,702.275175,702.801475,710.804025,702.5585
705.262175,779.1886,768.096575,702.296575,702.83435,710.8611,702.566525
705.27585,780.177975,768.34105,702.335775,702.852425,710.95215,702.573275
705.2891,781.400575,769.23775,702.3668,702.87815,711.1761,702.588975
705.3076,782.07735,770.36255,702.424075,702.89475,711.272575,702.650775
705.323525,782.676625,770.692475,702.491725,702.912825,711.317275,702.666875
705.374225,785.074975,771.0867,702.511925,702.9189,711.395625,702.676775
705.388975,785.909125,771.7682,702.52105,702.9288,711.59235,702.724125
705.4157,787.17825,771.8443,702.53125,702.944925,711.70755,702.7383
705.4304,787.186975,772.01055,702.537725,702.95485,711.988625,702.785425
705.446875,787.277775,772.280875,702.54485,702.967025,712.0304,702.826775
705.468825,790.1337,772.50685,702.5546,702.999625,712.0415,702.86245
705.671525,792.072875,772.533725,702.56435,703.031725,712.08245,702.889325
705.681775,794.711025,773.151675,702.5733,703.05315,712.1287,702.910875
705.69275,794.757575,773.7081,702.5887,703.09,712.167325,702.924175
705.702775,795.857175,773.897325,702.6129,703.156075,712.178075,702.932775
705.7125,796.1248,776.32725,702.651525,703.19465,712.22065,702.9661
705.717375,796.935325,776.527925,702.68915,703.241675,712.264725,702.992475
705.94645,797.701475,776.703125,702.753925,703.284175,712.286125,703.06255
705.986675,798.3436,777.405425,702.801475,703.2968,712.296575,703.102975
706.014125,799.22025,777.860875,702.834325,703.30935,712.594575,703.14545
706.04675,799.257425,778.194025,702.852425,703.315225,712.622,703.23265
706.077775,799.345475,778.2258,702.87815,703.325525,712.78095,703.2637
706.1216,799.6064,780.34505,702.89475,703.344475,712.838525,703.284825
706.158425,799.9888,781.1172,702.90365,703.358125,712.861575,703.2964
