SPK_SPKC01a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC12a,SPK_SPKC13a
110.278,,,76.519275,79.856525,76.99045
110.486825,,,76.58615,82.02595,77.20485
110.505,,,76.6381,82.127475,77.270425
110.744875,,,76.664575,82.2495,77.277275
110.9269,,,76.6851,82.616075,77.339325
111.070175,,,76.71205,86.608225,77.39285
111.161225,,,76.795975,87.0895,77.41835
111.2364,,,76.888075,87.252825,77.491275
111.93995,,,76.94795,89.3705,77.549775
112.004425,,,77.0073,90.01975,77.6338
112.024275,,,77.11405,93.538175,77.673
112.036,,,77.1642,93.89625,77.775625
112.107975,,,77.204575,94.760525,77.9384
112.117475,,,77.332675,96.93575,78.0145
112.3836,,,77.374325,97.1227,78.0266
112.4702,,,77.4212,98.748925,78.07135
113.058375,,,77.47165,102.073975,78.11375
113.5454,,,77.5599,102.122675,78.1554
114.0172,,,77.67865,104.806625,78.199025
114.0561,,,77.7107,105.669925,78.334575
114.07235,,,77.767125,105.803375,78.358725
114.11225,,,77.820375,107.51065,78.3702
114.14365,,,77.847875,108.404875,78.465025
114.14525,,,77.911925,108.706475,78.608375
114.176075,,,77.97075,110.036075,78.6452
114.785225,,,77.992225,110.3624,78.690375
114.906425,,,78.064875,112.08145,78.740275
115.009475,,,78.106025,112.5834,78.7668
115.1119,,,78.167525,113.8012,78.850925
115.124075,,,78.348475,115.20025,78.9626
115.3733,,,78.400725,118.606725,78.993625
115.630525,,,78.540275,119.530975,79.15015
115.6506,,,78.628825,120.4553,79.256725
115.684325,,,78.7703,120.8192,79.3012
115.762825,,,78.915075,121.51325,79.4134
116.42485,,,79.0821,122.6742,79.512275
116.604825,,,79.12405,123.67075,79.53615
116.853275,,,79.1724,124.729925,79.58895
116.878525,,,79.25405,126.0233,79.67785
116.95105,,,79.338125,127.71825,79.763925
117.09105,,,79.406,128.8669,79.82715
117.118125,,,79.46245,129.635475,79.85655
117.3125,,,79.511075,130.2844,79.88065
117.379525,,,79.64535,130.8753,79.9789
117.60695,,,79.7111,131.099675,80.062925
117.61225,,,79.7412,131.49345,80.097875
118.07895,,,79.759,131.661475,80.173175
118.333525,,,79.81945,131.846325,80.325725
118.570825,,,79.837625,132.665325,80.40415
118.6414,,,79.868475,132.824575,80.51445
119.05685,,,79.9372,133.56635,80.559275
119.07705,,,80.0003,133.68665,80.63835
119.3404,,,80.056675,134.7316,80.6861
119.835125,,,80.080925,136.423975,80.69045
119.95645,,,80.12495,139.275325,80.72605
120.338775,,,80.201375,139.6979,80.7819
120.52685,,,80.262975,140.865125,80.866775
120.7711,,,80.323475,143.5173,80.906225
121.356225,,,80.388625,143.81025,80.970425
121.985075,,,80.474975,146.897425,81.012725
122.048275,,,80.54615,146.96915,81.048575
122.3839,,,80.612475,147.0275,81.146475
122.679425,,,80.642875,148.107025,81.43445
123.50995,,,80.7422,148.6084,81.50165
123.74995,,,80.7971,150.3137,81.5456
123.91905,,,80.820275,150.928575,81.603
123.940575,,,80.890675,151.449075,81.727875
124.15645,,,80.9403,152.209875,81.8059
124.43845,,,81.015875,156.9504,81.8494
124.51175,,,81.05085,157.848775,81.903375
125.490825,,,81.072375,159.060125,81.99475
125.52365,,,81.11315,159.85645,82.0426
125.587675,,,81.15135,159.993,82.093425
125.995625,,,81.2499,161.463375,82.1275
126.117675,,,81.29405,162.09285,82.17465
126.23035,,,81.324525,163.393625,82.2538
126.433825,,,81.3825,165.322175,82.320775
126.546225,,,81.4963,165.479825,82.364225
126.58245,,,81.553375,166.094775,82.464975
126.77735,,,81.591675,167.075275,82.515475
126.93395,,,81.6384,167.479625,82.6152
127.38995,,,81.693275,170.0297,82.693125
127.5545,,,81.80355,170.07505,82.778125
127.747525,,,81.8262,170.240725,82.856975
127.9775,,,81.83955,172.761225,82.9445
128.19065,,,81.867325,173.05245,83.018325
128.33045,,,81.90395,174.039425,83.090475
129.04505,,,81.9555,174.51475,83.132
129.23005,,,82.012175,175.013975,83.23035
129.425325,,,82.0712,178.29525,83.273975
129.49495,,,82.095825,179.3529,83.3466
130.029625,,,82.1201,179.4194,83.37445
130.356375,,,82.181475,180.01235,83.46345
130.4126,,,82.20975,180.7497,83.604575
131.442425,,,82.255775,182.474275,83.683575
131.8058,,,82.297975,183.989975,83.777525
131.938075,,,82.32865,184.48005,83.8358
132.047975,,,82.3502,184.5094,83.87695
132.19875,,,82.3873,185.318375,83.911075
132.50195,,,82.455575,185.64655,84.01775
133.021725,,,82.49035,185.66955,84.086775
133.0639,,,82.53995,185.8559,84.157225
133.992,,,82.616025,186.08975,84.359825
134.270825,,,82.668125,186.8988,84.438675
134.308,,,82.713475,187.031025,84.459
