SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC06b,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC14a
66.64845,14.0904,31.532975,35.768375,6.208,75.739975,1.567725,7.469525
67.401575,14.2685,31.8851,37.57255,6.265025,75.985375,1.5974,7.684125
68.016425,14.28615,32.432925,38.378575,6.279625,76.93605,1.60715,7.807175
68.041875,14.34005,32.692125,38.40375,6.30075,80.4532,1.615175,7.948225
68.4984,14.49315,32.747975,38.682825,6.333925,81.364475,1.6174,8.04385
68.6666,14.499375,33.523825,39.133125,6.377,82.769775,1.620025,8.262975
69.85475,14.793375,34.2112,40.45835,6.54125,83.100375,1.623625,8.514025
70.0192,14.938975,34.599725,40.49285,6.6493,86.467225,1.63215,8.56105
70.2142,14.966,34.909725,40.699725,6.7098,86.932125,1.64145,8.787225
70.229325,15.2048,34.942175,40.896,6.7247,87.43775,1.6459,8.911575
70.461875,15.331425,37.056375,41.402475,6.737975,88.738675,1.653,9.252225
71.473675,15.494175,37.31265,41.453975,6.784075,89.672,1.68465,9.269775
72.473575,15.5995,37.490075,41.4809,6.8596,91.43075,1.6959,9.549525
72.56075,15.7721,37.750125,41.724425,6.908425,91.99485,1.70855,9.657075
72.638325,15.836675,38.44325,42.032275,7.07835,93.435875,1.717225,9.67005
73.0292,16.239725,38.70115,42.858725,7.092075,94.700525,1.72435,9.74645
73.705975,16.380875,38.929325,42.948,7.12625,97.15785,1.730225,9.921325
74.969475,16.406225,39.039475,43.219625,7.162475,97.253575,1.7334,9.922625
75.41905,16.5445,40.0488,43.7824,7.1786,98.106875,1.745275,9.96735
75.7194,16.600275,40.165275,43.99515,7.2041,98.219775,1.7593,10.016725
76.228175,16.682425,41.1523,44.076675,7.227475,98.675475,1.766125,10.347175
76.294125,16.781075,41.264375,44.1204,7.250725,98.72585,1.775575,10.53555
76.549425,17.16585,41.274875,44.515375,7.2574,98.786375,1.78805,10.559425
77.166575,17.268375,41.32545,44.913225,7.290025,100.593925,1.8075,10.65935
79.285,17.5698,42.2843,45.98025,7.31625,101.094675,1.8362,10.748825
79.570975,17.584075,42.697125,46.19125,7.34275,102.3638,1.8546,10.785175
81.9268,18.543525,42.76785,46.2304,7.370425,104.87405,1.86835,10.78895
82.05605,18.6734,42.948,46.6172,7.41475,104.892875,1.892725,10.793425
82.1484,18.87855,43.7977,47.3195,7.477575,105.10015,1.9066,10.822375
82.64575,18.902525,43.970775,47.737725,7.4992,105.611175,1.939375,10.842575
82.759875,19.080525,44.587425,47.841675,7.565775,105.697,1.97635,11.03785
82.94805,19.46405,44.6852,48.75775,7.609025,108.0154,1.987575,11.2945
83.943925,19.79735,45.098525,49.183775,7.80175,108.3267,1.998775,11.4308
83.952875,20.035475,45.2247,49.3082,7.854075,108.638975,2.03915,11.49145
84.001625,20.05975,46.191025,49.5929,7.920875,110.105425,2.08705,11.506125
84.40885,20.28095,46.2865,50.4874,7.944875,110.362325,2.106525,11.516475
84.51805,20.293675,46.437975,50.6897,8.052225,111.1694,2.113075,11.5575
85.180025,20.33535,46.716375,50.912575,8.13695,111.346075,2.124475,11.625425
85.3631,20.4324,46.8526,51.2202,8.1953,111.812625,2.13755,11.84035
86.2667,20.58615,46.894375,51.34955,8.248175,112.639675,2.1489,11.993425
