SPK_SPKC01a,SPK_SPKC09a,SPK_SPKC09b
69.810325,75.953875,90.96075
70.004625,75.97415,91.2476
70.31445,76.025725,91.362425
70.380775,76.0413,91.479075
70.44935,76.067775,91.7802
70.999525,76.12285,91.879225
71.078825,76.16975,92.25525
71.126825,76.1904,92.4908
71.1773,76.24905,92.731225
71.212475,76.277475,92.821875
71.25105,76.300825,92.994475
71.270225,76.34245,93.13975
71.3026,76.414025,93.500425
71.344575,76.461225,93.72325
71.377625,76.50545,93.793225
71.39995,76.566425,94.1344
71.441225,76.61815,94.379525
71.47175,76.682475,94.556
71.4905,76.714675,94.620975
71.515675,76.758575,95.00585
71.541175,76.8078,95.141625
71.570875,76.861675,95.617575
71.5982,76.958075,95.853325
71.630725,77.0085,96.0945
71.65865,77.091225,96.371925
71.711425,77.1615,96.5193
71.7525,77.18485,96.58625
71.816175,77.252625,96.68115
71.846375,77.27625,96.734725
71.8876,77.33855,96.881025
71.926425,77.396675,96.955725
71.976375,77.411525,97.00065
72.0044,77.442575,97.0106
72.03105,77.462925,97.1255
72.04955,77.47795,97.22775
72.079725,77.534725,97.317225
72.095025,77.557975,97.392875
72.138025,77.578775,97.4537
72.160475,77.62305,97.572525
72.19025,77.6435,97.94565
72.22035,77.688925,98.3581
72.26125,77.7437,98.520775
72.277775,77.76595,98.713575
72.3054,77.790775,98.850375
72.342075,77.8679,99.1062
72.373125,77.9063,99.36245
72.395675,77.970025,99.546125
72.4154,78.1008,99.6219
72.470475,80.165375,99.95115
72.4983,80.38455,100.00095
72.518975,80.456,100.86295
72.5536,80.488575,101.311975
72.58355,80.51665,101.524025
72.60975,80.621925,101.6713
72.6402,80.653125,101.92795
72.67865,80.817075,102.1278
72.708275,82.704725,102.391125
72.74225,82.74255,102.532775
72.782225,82.7663,102.8142
72.8065,82.8,102.977725
72.844625,82.82065,103.240225
72.898775,82.83795,103.533525
72.93375,82.8731,103.5629
72.99125,82.895475,103.6998
73.013725,82.910075,103.772925
73.043425,82.93045,103.821425
73.09495,82.9512,103.909025
73.152825,82.977975,104.0291
73.19775,82.997125,104.079525
73.256125,83.014725,104.144775
73.280975,83.0359,104.229975
